cell_line,donor,pool,n_cells_D11,n_cells_D30,n_cells_D52
HPSI0114i-eipl_1,HPSI0114i,pool1,3117.0,2591.0,13236.0
HPSI0114i-wegi_1,HPSI0114i,pool6,4502.0,2762.0,2287.0
HPSI0114i-wegi_1,HPSI0114i,pool7,225.0,617.0,326.0
HPSI0115i-aion_2,HPSI0115i,pool4,727.0,811.0,558.0
HPSI0115i-aoxv_1,HPSI0115i,pool8,3433.0,3051.0,2597.0
HPSI0115i-bimq_4,HPSI0115i,pool4,627.0,726.0,998.0
HPSI0115i-boqx_2,HPSI0115i,pool4,144.0,124.0,140.0
HPSI0115i-gifk_1,HPSI0115i,pool4,159.0,196.0,175.0
HPSI0115i-gost_2,HPSI0115i,pool2,3299.0,2845.0,1651.0
HPSI0115i-hecn_6,HPSI0115i,pool2,1077.0,1258.0,1363.0
HPSI0115i-hecn_6,HPSI0115i,pool3,718.0,414.0,723.0
HPSI0115i-iiyk_2,HPSI0115i,pool5,151.0,189.0,117.0
HPSI0115i-iuad_2,HPSI0115i,pool7,191.0,2206.0,2897.0
HPSI0115i-jakt_1,HPSI0115i,pool2,883.0,2137.0,4657.0
HPSI0115i-paim_1,HPSI0115i,pool1,4061.0,3918.0,12544.0
HPSI0115i-quze_6,HPSI0115i,pool9,676.0,596.0,312.0
HPSI0115i-sehp_2,HPSI0115i,pool7,285.0,1536.0,861.0
HPSI0115i-tiku_3,HPSI0115i,pool9,125.0,211.0,133.0
HPSI0115i-uupc_2,HPSI0115i,pool7,69.0,186.0,89.0
HPSI0115i-zihe_1,HPSI0115i,pool6,811.0,169.0,103.0
HPSI0214i-datg_2,HPSI0214i,pool9,4200.0,2845.0,1171.0
HPSI0214i-eiwy_1,HPSI0214i,pool1,1434.0,241.0,455.0
HPSI0214i-feec_2,HPSI0214i,pool4,870.0,702.0,874.0
HPSI0214i-feec_2,HPSI0214i,pool5,321.0,192.0,169.0
HPSI0214i-giju_3,HPSI0214i,pool4,1057.0,1735.0,1209.0
HPSI0214i-heth_1,HPSI0214i,pool6,1253.0,596.0,437.0
HPSI0214i-pelm_3,HPSI0214i,pool2,2826.0,3765.0,4334.0
HPSI0214i-pelm_3,HPSI0214i,pool3,2097.0,1320.0,3465.0
HPSI0214i-poih_2,HPSI0214i,pool5,6370.0,3459.0,2352.0
HPSI0214i-rayr_1,HPSI0214i,pool2,704.0,509.0,309.0
HPSI0215i-deyz_2,HPSI0215i,pool4,1537.0,6238.0,5528.0
HPSI0215i-fawm_2,HPSI0215i,pool4,1333.0,956.0,717.0
HPSI0215i-hipn_1,HPSI0215i,pool6,1851.0,519.0,446.0
HPSI0215i-hipn_1,HPSI0215i,pool7,259.0,1181.0,676.0
HPSI0215i-oilg_1,HPSI0215i,pool9,2193.0,1539.0,627.0
HPSI0215i-romx_1,HPSI0215i,pool8,2503.0,1421.0,1877.0
HPSI0215i-uiao_2,HPSI0215i,pool7,162.0,1882.0,2338.0
HPSI0215i-yoch_6,HPSI0215i,pool6,2402.0,1325.0,698.0
HPSI0215i-zett_5,HPSI0215i,pool8,2808.0,3790.0,6411.0
HPSI0215i-zett_5,HPSI0215i,pool9,2502.0,3469.0,2364.0
HPSI0314i-bubh_3,HPSI0314i,pool9,2167.0,1963.0,524.0
HPSI0314i-cuhk_2,HPSI0314i,pool4,1063.0,1553.0,2217.0
HPSI0314i-hoik_1,HPSI0314i,pool9,1008.0,4065.0,1023.0
HPSI0314i-qaqx_1,HPSI0314i,pool11,190.0,35.0,133.0
HPSI0314i-qaqx_1,HPSI0314i,pool6,657.0,215.0,138.0
HPSI0314i-sojd_3,HPSI0314i,pool3,1152.0,713.0,2175.0
