cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split
HPSI0114i-eipl_1,pool1,0.27989555080548656,-2.4711724978211884,3.9008975267219275,-1.7891894086921614,1.4018894926822028,-2.061360180307627,-1.5298289467065875,0.6903671298823277,1.3587033123876953,0.8542933333590014,0.5364132178376644,0.07314725697786333,0.3904395251844722,plain,0,0,train
HPSI0114i-wegi_1,pool6,-0.51716777701065,-1.5682667937108843,-0.8247505426502201,-0.1823012836929559,-1.4940839980915668,-0.026037366865352195,2.3253099379310256,-1.3434874239552255,-0.6756123501152659,-0.7207783256845519,0.5504220346512662,0.0,0.4495779653487339,plain,0,0,test
HPSI0114i-wegi_1,pool7,-1.5618963649431452,-5.511099854862218,3.343118565156556,-1.0471322893739017,-1.6115475306132647,0.09434667616577291,1.2915114035937365,0.18090125011203825,-0.6535731967806584,0.376432494885724,0.6711111111111111,0.0044444444444444444,0.3244444444444444,plain,0,0,test
HPSI0115i-aion_2,pool4,1.6890202430613055,-1.4858058172891928,-0.1887884481886746,0.9611846547036148,0.18312089629846773,1.7851987024948572,0.7452967019328375,0.5894898584491373,0.9107196324559158,0.4539714467093575,0.5584594222833562,0.002751031636863824,0.43878954607977994,plain,0,0,train
HPSI0115i-aoxv_1,pool8,-0.639012993558718,2.2136466905964953,-3.0622854452006796,-1.9287506310245788,0.23140756452753194,1.7258349082188422,0.5934353425501345,0.057894641171080306,0.500780982473659,0.755553950262675,0.5391785610253422,0.030585493737256043,0.43023594523740166,plain,0,0,train
HPSI0115i-bimq_4,pool4,-1.4141212824586407,2.3187747448110794,0.8768745252760405,-1.185553469605343,0.45386570379791413,1.1996612814629137,-1.0598651701453914,1.4931267507125763,1.116001189005582,1.1553579545992765,0.5390749601275917,0.13237639553429026,0.32854864433811803,plain,0,0,train
HPSI0115i-boqx_2,pool4,0.004926311505550967,-0.5062254043528482,-0.715517421544082,2.4470947545020754,-0.6899283142487322,1.436662325889132,0.2869584722823667,1.6501286245427889,1.491829173995071,0.14573203718872596,0.6041666666666666,0.006944444444444444,0.3888888888888889,plain,0,0,train
HPSI0115i-gifk_1,pool4,2.506737431254671,-2.784244216458902,0.05139407640169007,1.7628887056932994,2.1415001477206963,1.7416534034601852,0.8717881531126885,0.7285848883995982,0.779367400705064,0.23367285775490323,0.4779874213836478,0.0,0.5220125786163522,plain,0,0,train
HPSI0115i-gost_2,pool2,0.6971656557604732,-4.852260714730685,4.944584448269728,0.9997138404937053,0.8841653182040402,-4.1035031943990745,-2.738746253270409,2.3119376918893098,-4.155014508713571,0.1601517200175144,0.5774477114277053,0.010306153379812064,0.41224613519248254,plain,0,0,train
HPSI0115i-hecn_6,pool2,0.7400048121465996,-4.330389500042551,4.261023532691289,1.4109303968800309,0.7060751335616549,-2.395152464962513,-0.5523300394687725,0.024549582335310745,-2.5363682329190813,-0.8343618174035334,0.6081708449396471,0.02135561745589601,0.37047353760445684,plain,0,0,train
