cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population,label_variant
HPSI0114i-eipl_1,pool1,1.2591649400234828,3.502471941760484,3.969395007030803,-1.7214638274476444,-2.1044941455289465,0.7397408239038595,2.7772895700581044,-1.883600187114271,0.9898160412878582,1.2557863834687828,0.01968351987649556,0.2535700501736781,0.29834040910845233,0.04438440756464686,0.005403319181783096,0.33346198379004244,0.04515631030490158,plain,0,0,train,qualifying_only,da_untreated
HPSI0114i-wegi_1,pool6,-5.891363821677917,-9.627185421938295,-4.655041734801603,0.7716474969080618,-1.249287623892599,0.6520284378702108,-2.848378644999287,-0.3889481074444496,0.24271977653132157,-0.18949025270976316,0.10137581462708183,0.006154960173787111,0.13830557566980448,0.09956553222302679,0.6495293265749457,0.005068790731354091,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0114i-wegi_1,pool7,5.5395155943148575,-3.645594238930935,-3.8698336322147076,0.2936074620157801,1.5492147548855617,0.10859789666171339,0.20227288784133943,0.6407683591705912,-1.3852220849575647,-2.01354987080218,0.5235008103727715,0.0016207455429497568,0.050243111831442464,0.03403565640194489,0.3905996758508914,0.0,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-aion_2,pool4,6.387980514317619,-0.4113635351252336,-2.333594155043366,-0.19220628092306655,1.1287365177397481,-0.865566276145739,-1.1595343260311144,0.5358638497106573,-0.9043384816425247,-1.3995413527471974,0.5524044389642416,0.05425400739827373,0.1060419235511714,0.025893958076448828,0.2466091245376079,0.012330456226880395,0.002466091245376079,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-aoxv_1,pool8,-6.809476873109325,2.3971567145931205,0.4430466065367962,-1.7305535566672687,-1.1869405735769458,-0.08912002225979025,-0.34066502792723163,0.05342884016453856,-1.3415818484934339,-0.7462810511137681,0.08423467715503113,0.29859062602425435,0.3720091773189118,0.049491969845952145,0.12225499836119305,0.0727630285152409,0.0006555227794165847,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-bimq_4,pool4,0.2618925759178473,1.6083518445813583,3.615056299843218,-1.3296755307340298,-1.140369083551812,-0.04048713457462282,0.23682541082553943,-1.171953283186414,0.5591867323692514,-0.729183679502549,0.18181818181818182,0.1487603305785124,0.3622589531680441,0.07162534435261708,0.0371900826446281,0.1928374655647383,0.005509641873278237,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-boqx_2,pool4,0.18081580861940366,0.2905286863217465,-0.5134383592516634,-0.3088024848140863,1.079226322442595,-0.6401240476665219,0.5277438248158022,-0.7733206742044104,0.6507374277508208,-1.287185391685838,0.25,0.14516129032258066,0.25,0.04838709677419355,0.22580645161290322,0.08064516129032258,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-gifk_1,pool4,5.491838388041908,-2.113044771036828,-1.24306673345811,0.5962995320429364,1.178552234845711,-1.3771640347119678,-0.6991407649175406,1.028849785907374,-0.906938198269443,-1.9385114992171237,0.5051020408163265,0.015306122448979591,0.14285714285714285,0.07142857142857142,0.2653061224489796,0.0,0.0,plain,0,0,test,qualifying_only,da_untreated
HPSI0115i-gost_2,pool2,12.452823161427347,1.356027422395424,-3.466665327393221,1.155487123717064,3.6032343532128746,-1.6977641972617248,1.6998422085160316,0.6761366059521248,0.850916044828378,2.1086431952664424,0.6404217926186292,0.022847100175746926,0.03725834797891037,0.01265377855887522,0.281195079086116,0.0045694200351493845,0.001054481546572935,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-hecn_6,pool2,7.8717738716777585,2.942285879923219,0.8103785039539998,1.4959037985289532,3.357320303771774,-1.4125571680225106,0.014326429047193792,0.9705457336308702,1.5052662057555675,2.383117074588266,0.5111287758346582,0.07790143084260731,0.20270270270270271,0.0794912559618442,0.11049284578696343,0.017488076311605722,0.000794912559618442,plain,0,0,train,qualifying_only,da_untreated
