cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split,fit_population,label_variant
HPSI0114i-eipl_1,pool1,0.28130358149869134,0.567343687722952,4.822731216338519,-1.899927898209532,1.1043206049602148,-2.044892281018085,-1.6262432839365384,0.40993757660195457,1.3681998378594475,0.9181184300526761,0.5364132178376644,0.07314725697786333,0.3904395251844722,plain,0,0,train,qualifying_only,da_untreated
HPSI0114i-wegi_1,pool6,-0.4701936156625971,-1.7578867281271822,0.7659965090058479,0.04404884211509816,-1.4919514511867806,-0.0011955012972116607,2.89052581081908,-0.530795835187078,-0.49216916936301924,-0.8519138703909673,0.5504220346512662,0.0,0.4495779653487339,plain,0,0,train,qualifying_only,da_untreated
HPSI0114i-wegi_1,pool7,-1.427723922873424,-2.0182319840503817,6.519765970983254,-0.412976436229198,-1.3737449104385226,-0.0609358485971768,1.3156244956906733,0.6742434514424287,0.0393635388184132,-0.012021959449807018,0.6711111111111111,0.0044444444444444444,0.3244444444444444,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-aion_2,pool4,1.719712343574179,-1.2678158944739628,1.1597456301616424,0.8263547256214732,0.4433477182640937,1.6238674701767515,0.39864872962952236,0.8253916532270774,1.0336529272893862,0.46027176171534157,0.5584594222833562,0.002751031636863824,0.43878954607977994,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-aoxv_1,pool8,-0.5392669348581639,-0.41993198133295073,-3.3606395369473914,-2.2298266907817985,-0.10789552934791251,1.702828467593744,0.5010591685263782,0.12073105542433221,0.5050641389198876,0.8074981939940584,0.5391785610253422,0.030585493737256043,0.43023594523740166,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-bimq_4,pool4,-1.3997098686327587,2.272543444121617,-0.4488843292626189,-1.5449875247807445,0.42787478776632276,1.1693814664087032,-1.5831512559252103,1.054283901761039,1.1535694610292402,1.2475618142688374,0.5390749601275917,0.13237639553429026,0.32854864433811803,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-boqx_2,pool4,0.008811983297869913,-0.775274323264886,0.008295755115585302,2.3609596971213636,-0.14286152338862268,1.4930045045145395,-0.36864176018593925,1.6863449205479162,1.6403908673151848,0.12066785937858428,0.6041666666666666,0.006944444444444444,0.3888888888888889,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-gifk_1,pool4,2.5757496373290265,-2.1678124749492644,2.1523696068372424,1.3688374620896573,2.4811632313709846,1.424734162611727,0.37380604254678246,1.021029580448909,0.9348060703909112,0.22884944521435177,0.4779874213836478,0.0,0.5220125786163522,plain,0,0,test,qualifying_only,da_untreated
HPSI0115i-gost_2,pool2,0.7088847854339164,-0.46091057019711756,7.318828251401339,1.2039376086167088,1.1641944819439298,-4.0618687846701915,-3.297248968194124,1.8674581916706534,-3.8030849121677264,0.24485444776425253,0.5774477114277053,0.010306153379812064,0.41224613519248254,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-hecn_6,pool2,0.756244984608501,-0.5438555193421125,6.316869512160329,1.5798450953732601,1.072931658695697,-2.413696314067309,-0.6174598856538063,0.2457424434613778,-2.3795224254701113,-0.8364348975227116,0.6081708449396471,0.02135561745589601,0.37047353760445684,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-hecn_6,pool3,0.5456748574788601,-1.1560701834406293,2.163362462154534,3.9089702623880864,-0.24833681629937984,-1.568614634995671,1.7071650728316266,-0.7495991865911752,-1.048715727383458,-0.874176704587132,0.5654596100278552,0.001392757660167131,0.4331476323119777,plain,0,0,train,qualifying_only,da_untreated
HPSI0115i-iiyk_2,pool5,1.5964513611615174,-1.309572730689747,1.3458534881957533,-0.7135515512847699,-0.1786202174730492,-0.44301294190661233,0.38424825455944855,-1.0258903797731587,0.7354486698847655,0.06510438249315975,0.5298013245033113,0.0,0.47019867549668876,plain,0,0,train,qualifying_only,da_untreated
