cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population
HPSI0114i-eipl_1,pool1,0.8749153529987513,3.8094164608462546,4.094471692280094,-1.5553268106503828,-1.2292683652808503,1.6960193830481212,2.542680394911159,-3.2586671718919464,1.3534436861359773,0.9069430823951653,0.01968351987649556,0.2535700501736781,0.29834040910845233,0.04438440756464686,0.005403319181783096,0.33346198379004244,0.04515631030490158,plain,0,0,train,qualifying_only
HPSI0114i-wegi_1,pool6,-6.383300531493733,-9.517301840787784,-3.8894507447655413,0.7697277120413326,-0.35032304433862316,1.8996026461149327,-2.8410696209633297,0.3389788239957469,0.1642518870422192,-0.39100879330773247,0.10137581462708183,0.006154960173787111,0.13830557566980448,0.09956553222302679,0.6495293265749457,0.005068790731354091,0.0,plain,0,0,test,qualifying_only
HPSI0114i-wegi_1,pool7,5.1277712984848485,-3.7203699530221077,-3.43765709235847,0.22834383798278327,0.8998596457847949,-0.8591086706985465,0.35876900055679356,0.5892995593172825,-1.7226969005513448,-1.436209986468965,0.5235008103727715,0.0016207455429497568,0.050243111831442464,0.03403565640194489,0.3905996758508914,0.0,0.0,plain,0,0,test,qualifying_only
HPSI0115i-aion_2,pool4,5.97452185108027,-0.44338193298075473,-2.0055603479678004,-0.25670917245899344,-0.12484746362017163,-0.9051784085408867,-1.1087433744868713,0.9261009539348315,-1.1755192932761631,-1.020921322410557,0.5524044389642416,0.05425400739827373,0.1060419235511714,0.025893958076448828,0.2466091245376079,0.012330456226880395,0.002466091245376079,plain,0,0,train,qualifying_only
HPSI0115i-aoxv_1,pool8,-7.164951647126354,2.7159216047232437,0.6863362924393296,-1.687111425060108,-0.8922198449090493,0.9189942467802302,-0.19821066238775636,0.020389549016762907,-1.4815568717736494,-0.40801332559268044,0.08423467715503113,0.29859062602425435,0.3720091773189118,0.049491969845952145,0.12225499836119305,0.0727630285152409,0.0006555227794165847,plain,0,0,train,qualifying_only
HPSI0115i-bimq_4,pool4,-0.13575267734569374,1.8970299109982471,3.8176526389527803,-1.1385591507339798,-1.1067635221245553,0.8990054257623041,0.046064971233563186,-1.4746325102463174,0.31972102827778814,-0.9921974374121889,0.18181818181818182,0.1487603305785124,0.3622589531680441,0.07162534435261708,0.0371900826446281,0.1928374655647383,0.005509641873278237,plain,0,0,train,qualifying_only
HPSI0115i-boqx_2,pool4,-0.20900559482883854,0.4354410395919837,-0.2502710775873497,-0.24380611586272177,-0.05667573515601458,-1.2775004134703736,0.1523267462262775,-0.7875141692230349,0.31131762241579386,-1.5428296995994037,0.25,0.14516129032258066,0.25,0.04838709677419355,0.22580645161290322,0.08064516129032258,0.0,plain,0,0,train,qualifying_only
HPSI0115i-gifk_1,pool4,5.080479857999401,-2.1002347505134775,-0.9097265063073329,0.6499660697912603,-0.49522314302043857,-1.3126098164483662,-0.5168477508659021,1.3440938184246636,-1.3450970739065617,-1.5593920447373688,0.5051020408163265,0.015306122448979591,0.14285714285714285,0.07142857142857142,0.2653061224489796,0.0,0.0,plain,0,0,train,qualifying_only
HPSI0115i-gost_2,pool2,12.120937081895018,1.263017661900525,-3.325891435285482,1.0690537189483758,0.6778109290411719,-3.7278510157283384,1.674268485955928,0.24304954138802132,1.5606528736554237,2.172613577056836,0.6404217926186292,0.022847100175746926,0.03725834797891037,0.01265377855887522,0.281195079086116,0.0045694200351493845,0.001054481546572935,plain,0,0,train,qualifying_only
HPSI0115i-hecn_6,pool2,7.570730763718916,3.0707877534363774,0.93178569537842,1.5940338262112852,0.8778297582615899,-3.128332855645329,0.22607719270377652,0.9351608016316209,2.372271242438697,2.165622293282032,0.5111287758346582,0.07790143084260731,0.20270270270270271,0.0794912559618442,0.11049284578696343,0.017488076311605722,0.000794912559618442,plain,0,0,train,qualifying_only
