gene,gene_index,PC,loading,abs_loading
ADIPOQ-AS1,6990,PC8,1.9838948988279e-05,1.9838948988279e-05
RP11-429B14.3,24389,PC8,-1.9695076819304034e-05,1.9695076819304034e-05
AC009505.4,4230,PC8,-1.9588716499710335e-05,1.9588716499710335e-05
SLC12A3,25478,PC8,-1.953246305602338e-05,1.953246305602338e-05
GRK7,6582,PC8,-1.9476423790887573e-05,1.9476423790887573e-05
INSM2,22659,PC8,1.940766723933613e-05,1.940766723933613e-05
KB-1958F4.2,15173,PC8,1.9375612059319622e-05,1.9375612059319622e-05
RP5-1069C8.3,28718,PC8,1.9369575381485737e-05,1.9369575381485737e-05
RP11-480D4.2,8611,PC8,-1.9235613785625574e-05,1.9235613785625574e-05
RP11-118E18.2,27392,PC8,1.9170210558227244e-05,1.9170210558227244e-05
FAM217A,10218,PC8,-1.9103280559094474e-05,1.9103280559094474e-05
GML,15512,PC8,-1.9017154571911417e-05,1.9017154571911417e-05
RP11-666I19.2,14306,PC8,1.8859927715900296e-05,1.8859927715900296e-05
RP11-182J1.13,24334,PC8,1.884128134500939e-05,1.884128134500939e-05
RP1-124C6.1,11321,PC8,1.8575407669667807e-05,1.8575407669667807e-05
TMEM244,11415,PC8,1.842440773655833e-05,1.842440773655833e-05
CD300LD,27630,PC8,1.8415555740282266e-05,1.8415555740282266e-05
RP3-467L1.4,198,PC8,1.8276524556179434e-05,1.8276524556179434e-05
IGBP1-AS1,13695,PC8,1.8255088875388698e-05,1.8255088875388698e-05
CTD-2583A14.9,31373,PC8,1.8178844876516758e-05,1.8178844876516758e-05
AL590714.1,2225,PC8,1.816866272505858e-05,1.816866272505858e-05
RP11-450H5.1,6783,PC8,-1.8152268835141948e-05,1.8152268835141948e-05
LINC00380,22213,PC8,-1.7933984229741554e-05,1.7933984229741554e-05
NKX2-6,14551,PC8,1.7891126825652646e-05,1.7891126825652646e-05
CORO7-PAM16,24798,PC8,-1.7833080140442947e-05,1.7833080140442947e-05
SLC34A2,7393,PC8,-1.7832891200823362e-05,1.7832891200823362e-05
AC005387.2,30131,PC8,-1.76681938968543e-05,1.76681938968543e-05
FOXN1,26639,PC8,-1.7518953937260456e-05,1.7518953937260456e-05
RP11-776A13.3,20484,PC8,1.7334342619168243e-05,1.7334342619168243e-05
CTD-2510F5.4,27429,PC8,1.7305525067199244e-05,1.7305525067199244e-05
IL8,7691,PC8,-1.7207943647891865e-05,1.7207943647891865e-05
IQCF5,5936,PC8,1.713792977466721e-05,1.713792977466721e-05
RP5-856G1.1,10174,PC8,-1.700251724757429e-05,1.700251724757429e-05
RP11-396J6.1,14930,PC8,1.699202076613017e-05,1.699202076613017e-05
RP11-123B3.2,17310,PC8,1.6851013056861336e-05,1.6851013056861336e-05
RP11-241G9.3,9010,PC8,1.6806963013392454e-05,1.6806963013392454e-05
RP11-685A21.1,28388,PC8,-1.679748886101993e-05,1.679748886101993e-05
RP11-69E9.1,473,PC8,-1.6730427573361436e-05,1.6730427573361436e-05
SLC5A7,4247,PC8,1.661714119741903e-05,1.661714119741903e-05
CTD-2232E5.2,9190,PC8,1.6296573959994842e-05,1.6296573959994842e-05
RP11-843A23.1,19482,PC8,1.6179194679409236e-05,1.6179194679409236e-05
RP11-221N13.4,21011,PC8,-1.6139756359600544e-05,1.6139756359600544e-05
MS4A4A,18939,PC8,-1.6129134056702202e-05,1.6129134056702202e-05
CTD-2582D11.1,27614,PC8,1.585433667424489e-05,1.585433667424489e-05
AD001527.7,30444,PC8,-1.5767566423687535e-05,1.5767566423687535e-05
GYG2-AS1,13251,PC8,-1.5690353972952905e-05,1.5690353972952905e-05
CTB-158E9.1,9843,PC8,-1.551995478071897e-05,1.551995478071897e-05
RP11-1008C21.1,23639,PC8,1.549844579010578e-05,1.549844579010578e-05
RP11-67C2.2,17255,PC8,-1.5490428515765883e-05,1.5490428515765883e-05
AP000459.7,32302,PC8,-1.5386483595916335e-05,1.5386483595916335e-05
GPR22,12737,PC8,1.5140276956271843e-05,1.5140276956271843e-05
RP11-536K17.1,15300,PC8,-1.4979583286853166e-05,1.4979583286853166e-05
RP11-275I4.1,23646,PC8,-1.4935722668068802e-05,1.4935722668068802e-05
TREML1,10827,PC8,-1.4925460017243231e-05,1.4925460017243231e-05
RP11-355I22.5,22907,PC8,-1.4796534833626853e-05,1.4796534833626853e-05
RP5-837I24.4,1274,PC8,-1.4433917409131505e-05,1.4433917409131505e-05
RP11-15M15.1,29202,PC8,-1.4409534723765323e-05,1.4409534723765323e-05
RP11-893F2.15,27318,PC8,-1.4260834996166066e-05,1.4260834996166066e-05
RP11-169E6.4,25344,PC8,-1.419518772317595e-05,1.419518772317595e-05
RP11-291B21.2,20281,PC8,1.4108398664491972e-05,1.4108398664491972e-05
CTD-3025N20.2,14901,PC8,1.4086925462096789e-05,1.4086925462096789e-05
RP1-20B11.2,10166,PC8,-1.4056125735022428e-05,1.4056125735022428e-05
MIR4454,9967,PC8,-1.391903634660095e-05,1.391903634660095e-05
RP11-655H13.2,17903,PC8,-1.386340585124421e-05,1.386340585124421e-05
CTC-498M16.2,9182,PC8,1.3686448008232745e-05,1.3686448008232745e-05
RP11-989F5.1,21707,PC8,-1.362939889946301e-05,1.362939889946301e-05
GSC2,31582,PC8,-1.3629027116293175e-05,1.3629027116293175e-05
CTB-181F24.1,9928,PC8,-1.3611933391639462e-05,1.3611933391639462e-05
CTB-127C13.1,9899,PC8,1.3501794582762698e-05,1.3501794582762698e-05
RP11-446F17.3,10939,PC8,-1.3342438863140812e-05,1.3342438863140812e-05
RP11-110L15.1,21486,PC8,-1.2966881032371367e-05,1.2966881032371367e-05
OR6F1,3154,PC8,-1.2945042265653688e-05,1.2945042265653688e-05
RP11-2I17.4,24112,PC8,-1.294452155033117e-05,1.294452155033117e-05
NAALADL2-AS2,6851,PC8,-1.294225831756733e-05,1.294225831756733e-05
