PC,explained_variance_ratio
PC1,0.05387229892441145
PC2,0.026794208320458045
PC3,0.025410963918661458
PC4,0.02030266714149715
PC5,0.018411259662872555
PC6,0.01148539739391622
PC7,0.009335899811995363
PC8,0.008510791347491383
PC9,0.007518671763305991
PC10,0.007094500696151381
