cell_line,n_pools,PC1_mean,PC1_se,PC2_mean,PC2_se,PC3_mean,PC3_se,PC4_mean,PC4_se,PC5_mean,PC5_se,PC6_mean,PC6_se,PC7_mean,PC7_se,PC8_mean,PC8_se,PC9_mean,PC9_se,PC10_mean,PC10_se
HPSI0114i-eipl_1,1.0,0.3573856576288545,0.13479682579089894,3.8026094297307664,0.05744474158232028,2.1509675564265835,0.11555561008262899,-1.6396490717166212,0.05152486729861727,1.084775095887381,0.06729310907617168,-1.1540802914985082,0.042477361261185134,-1.2542542482001802,0.047919584722657935,-0.24252282845569856,0.050547691426235754,0.4107572537620448,0.04293392550054776,1.4251012646712995,0.0374777628972722
HPSI0114i-wegi_1,2.0,-0.7884542338122057,0.26825694432757247,3.2142636402521076,0.11965904604356128,-0.6999412536531437,0.0893653702415792,-0.2933945620623595,0.0992064197781976,-1.3533872116116648,0.13263640066286927,0.09156759382803376,0.08228498920938433,1.339904050906853,0.08392659588589066,-0.30024204726248954,0.08471955069115804,0.0698980722302705,0.07634838229097012,-0.7352193300240649,0.06396402579420349
HPSI0115i-aion_2,1.0,1.6280214263736157,0.29971753830519543,0.5579100548544018,0.11333686407530125,-1.006127261520697,0.08860131389909613,0.9702782348125244,0.1392928114852255,0.24997317930153654,0.14851205359916106,1.684990197257936,0.08837801429947584,0.48135320056513375,0.07096596448482805,0.5651838110030645,0.08959021194008956,1.1160304191644062,0.09193109874151183,0.7136215237463256,0.08856513585140022
HPSI0115i-aoxv_1,1.0,-0.7239410014123718,0.10445398303426859,-3.766269487523402,0.050367966686590625,-1.7121785617624992,0.05955569063359863,-2.015411810081846,0.0739752947146361,0.744341218819088,0.06054957425072983,1.7350980909388265,0.043539527508422105,0.2591490753935249,0.03187155764231581,0.15805865258176438,0.03966860609944479,0.4026980469529129,0.042828074258122344,0.85023114579309,0.039374251099414496
HPSI0115i-bimq_4,1.0,-1.3589774468269242,0.2721569177809871,-1.9263850334056416,0.13033888618197023,1.8879900573676711,0.31249800349438717,-1.2698413763818848,0.15725858619464422,0.801749710965066,0.17436565908288756,1.4320823437491808,0.0840405325045325,-1.5967220910709394,0.10585501910987702,0.46825154251513357,0.089360122628132,1.404627393628742,0.10293381722592228,1.292892107807942,0.09803122273278672
HPSI0115i-boqx_2,1.0,-0.0314413185065147,0.5741587478479118,-0.6181862768247932,0.3120993268026016,-0.9010330812562688,0.25724759626555954,2.3620012977729337,0.4933549798299353,-0.5406425505213489,0.35062112488823466,1.648658642375298,0.20952681748855947,-0.3326299024102767,0.2112856818047638,0.48660387088172197,0.18602100933982066,2.105220872594202,0.24691582282612476,0.4779042199974821,0.277840924975828
HPSI0115i-gifk_1,1.0,2.394771956344623,0.5992845078662201,1.9425635513288757,0.23032085787681783,-1.4002893788962876,0.17897225533061933,1.9044714185801668,0.36417955145257264,1.9954556208998369,0.3082789976544376,1.556762649362784,0.2042097884990362,0.6811835507364415,0.16716579540454707,0.3544566567848573,0.17440778803155146,1.15631428238841,0.17942077554374045,0.5244482243351004,0.20271719121886117
HPSI0115i-gost_2,1.0,0.8595477300727707,0.1293371869844919,6.320590835122383,0.07340767455518496,2.1270301966825382,0.054626206307833595,1.2812476720222576,0.057364189935431506,0.5325576638754767,0.0632094350501256,-2.3862463219120356,0.0503864593555723,-3.7603003436180815,0.06392666788637048,-3.8285217543199597,0.052928040437842515,-0.7362794831872954,0.04110511739039935,-0.7648104503647335,0.03712405357201416
HPSI0115i-hecn_6,2.0,0.7342216462781108,0.18111837112861787,3.4180731085963396,0.08824150876684565,0.639228964310053,0.06895258468143924,2.668597851135945,0.11052543960042856,-0.5092852142388186,0.09167648260309025,-1.351095793985714,0.06572295351029227,0.4763537811469084,0.06226781279818372,-1.36126730832298,0.06187302447706113,-1.2522719831130775,0.06105940546061714,-0.9265023061274437,0.06486846509884969
HPSI0115i-iiyk_2,1.0,1.496462203857395,0.6638474677065312,0.9257488518987641,0.27771092788646295,-0.9175810989606794,0.18037848690987116,-0.67470250087459,0.3123271164193475,-0.07971208477091693,0.2997659317901271,-0.10039294474581942,0.18544446300404063,0.5959454764272213,0.15553599231768783,0.5891751113951961,0.22130064142719738,-0.6929333425139286,0.19874593517034433,0.6603195934895459,0.19950174259223555
