PC,explained_variance_ratio
PC1,0.0978072331502245
PC2,0.057177297855969166
PC3,0.036448840457645966
PC4,0.026736930498447095
PC5,0.013258289006718429
PC6,0.01237015580286328
PC7,0.010717428105639634
PC8,0.009561122894095898
PC9,0.007429347191748764
PC10,0.006874871433914599
