cell_line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HPSI0114i-eipl_1,1.2674125163762842,4.1991917579006355,3.797411234676729,-2.110846299315013,-1.8498013860951652,0.2436257224575661,-3.2930303992832903,-1.8112877185967133,0.7576039089540696,-1.1729316369116907
HPSI0114i-wegi_1,-0.6573920599650647,-6.425955217157716,-3.5719274306372517,0.4759865549914583,0.3201010342335452,0.5530624923559804,1.1300100337092274,0.03818763859991092,-0.6798678935731788,0.9120351890856766
HPSI0115i-aion_2,6.216291194514697,-0.3114609963284172,-2.1202348604736243,-0.14245321864767566,0.9209487396471021,-0.7861214607268221,1.310803105397631,0.5744406638896482,-0.8904560394753918,1.3400046472844982
HPSI0115i-aoxv_1,-6.889043093122274,3.3597023757713727,0.44847596379279697,-1.9672075926825612,-1.1845607918198595,-0.0742674300401539,0.15180322107588778,0.21783931489210848,-1.4244190138220352,0.706575617952478
HPSI0115i-bimq_4,0.18884498400159958,2.2941170356267686,3.5969364462003615,-1.7374712148981042,-1.1964283932211655,-0.25597080867783817,-0.5365501026483056,-1.1925710516216403,0.33496002564845534,0.6620595532184769
HPSI0115i-boqx_2,0.027548783704179524,0.8344580805013216,-0.2908038144414177,-0.4940692830386558,1.0602715031465062,-0.9887076268748227,-0.4525806790777825,-0.6932722705909126,0.3922558174347073,0.990390639934646
HPSI0115i-gifk_1,5.2301609992588105,-1.9887936226345668,-0.8750117448878021,0.4924502430945945,0.9804021473888602,-1.3369122692148474,0.9293421439431252,1.1604566470706252,-0.8470982548077823,1.8859472065337313
HPSI0115i-gost_2,12.303345769149512,1.132041483851231,-3.224068402273007,1.395251833993318,3.3898274087129967,-2.00028829003926,-1.1821792394822188,0.6985661638179564,1.1144200319869513,-1.6900441217791975
HPSI0115i-hecn_6,5.56713986220589,2.7262595679936688,-0.43845481734082326,1.1589142869601585,3.144783561502493,-2.1076561098472144,-0.25799427341381787,0.8480579314525339,1.4707170220974075,-2.1818607182261376
HPSI0115i-iiyk_2,-2.0050960613284303,-1.389928107125407,-0.9862710567936591,-2.2702879368448796,-0.12422009150152273,1.4665959368713766,1.7714183709476845,0.7380035282502374,-1.51086785362002,3.3939635935011743
HPSI0115i-iuad_2,-2.308212738326493,-5.815524816950898,-4.632139461916366,2.349040877324765,1.2513438640129828,1.228847777533565,0.6331303118344377,-0.10704997878690707,0.7136554130133191,-0.21051455539720026
HPSI0115i-jakt_1,1.2751761386377825,-4.6108044295844826,-5.910874549315172,3.0981737924616217,2.1656471525224736,-1.5700542627717304,-1.0789029848580292,0.5071853370695358,1.7309439511811258,-2.216664933492453
HPSI0115i-paim_1,3.83180613315369,-2.5608026727645994,-2.500278428541208,0.02730944340810849,4.278631570799828,2.5588296205425634,-0.8176316411575785,0.9461991760911024,0.4139696644330654,-0.24649336869311023
HPSI0115i-quze_6,-4.590916907123895,2.4557155904838917,0.4597462765015723,0.5976287178080091,-0.7743709252217558,-0.7751822316499468,0.5678760156903359,0.45238944176282314,-0.06723698681744357,-1.2962638485657059
HPSI0115i-sehp_2,10.944340272564757,1.1362932746959935,0.34233452519262214,0.330335323283542,1.1894324211958034,0.00012670154933073572,1.9553338429997886,0.7301584738460559,-0.29175286727373567,0.8607339939557819
HPSI0115i-tiku_3,-5.111770149154584,2.6849365391257414,0.6334965204828901,0.3958091286092093,-0.823507163676036,-0.62083049050334,0.7464345420793679,0.9381323214480058,0.64810214714209,-1.284677464122453
HPSI0115i-uupc_2,2.7864650874484616,0.8409484392534863,-0.4264431469138111,0.8610329455036156,2.4830976939107217,0.9357166996077825,0.27632958662860885,0.6373766505898462,-0.5029574175164829,0.8083705868658126
HPSI0115i-zihe_1,-10.625541125831692,8.408246354110737,-0.4110217563483008,-2.018824984969411,-0.5339320372039892,-0.9595191963600765,0.5339537531547528,-2.1086036306379,-1.2366101370068905,0.36787195638338466
HPSI0214i-datg_2,3.6853127380220774,-0.8734795252431162,0.8270539744988724,0.5014260292294714,1.3061491519889947,-0.4500628866716643,0.893942621663114,0.6605280179385282,-0.4006002409427044,-0.057930529113667806
HPSI0214i-eiwy_1,5.508543601311721,-2.931379105460324,-2.9723701241666673,1.5870679701503407,0.8895138001896284,-0.6991962068899635,0.19948919592795764,1.05115674745612,-0.28011311755664636,0.5312811452314224
HPSI0214i-feec_2,0.9974709583931454,1.6407556250787116,3.139823316099128,-1.7978094089939791,-1.8233131726846707,1.0585323765713335,-0.23651978985114863,-1.9117416277669461,0.10452174889706362,1.9839077825004472
