gene,gene_index,PC,loading,abs_loading
MLLT11,1858,PC1,0.07510979881069663,0.07510979881069663
TUBB2B,10204,PC1,0.07086856428080472,0.07086856428080472
TUBA1A,20638,PC1,0.07045630929162092,0.07045630929162092
TUBB2A,10202,PC1,0.07012779310847009,0.07012779310847009
STMN2,15014,PC1,0.06986291640293917,0.06986291640293917
RTN1,22877,PC1,0.06851605399877587,0.06851605399877587
GAP43,6315,PC1,0.06797308393845058,0.06797308393845058
NSG1,7226,PC1,0.06736881480839445,0.06736881480839445
MAP1B,9027,PC1,0.06697304091142946,0.06697304091142946
CRMP1,7236,PC1,0.06688469274526898,0.06688469274526898
INA,17868,PC1,0.06526748814048677,0.06526748814048677
HN1,27656,PC1,0.0628131393073268,0.0628131393073268
RAB3A,30116,PC1,0.06258973551174085,0.06258973551174085
APLP1,30426,PC1,0.06253019763986598,0.06253019763986598
MARCKSL1,688,PC1,0.06131706180899431,0.06131706180899431
PAFAH1B3,30673,PC1,0.06124850082784148,0.06124850082784148
TERF2IP,25795,PC1,0.060553331743634246,0.060553331743634246
BASP1,8676,PC1,0.06037261398192432,0.06037261398192432
MAPT,27191,PC1,0.06020150051002159,0.06020150051002159
RPS6,15745,PC1,-0.05948048751196299,0.05948048751196299
RTN3,19065,PC1,0.059355385613433204,0.059355385613433204
VAMP2,26318,PC1,0.05903349184731032,0.05903349184731032
FXYD6,19790,PC1,0.05882201007717865,0.05882201007717865
GNG3,19034,PC1,0.0585299529679442,0.0585299529679442
KLC1,23410,PC1,0.05844887551893916,0.05844887551893916
GNG5,1287,PC1,-0.057913960902272514,0.057913960902272514
TUBB,10565,PC1,0.05759233031162901,0.05759233031162901
DCX,13926,PC1,0.057162004733052954,0.057162004733052954
ATP1A3,30659,PC1,0.05697307127791833,0.05697307127791833
ENO2,20182,PC1,0.055797384232750415,0.055797384232750415
KIF5C,4538,PC1,0.05576847159265606,0.05576847159265606
TTC3,32495,PC1,0.055487717725095406,0.055487717725095406
GPM6A,8380,PC1,0.055213888655152595,0.055213888655152595
STMN4,14581,PC1,0.05517729252468601,0.05517729252468601
NCAM1,19726,PC1,0.05498184601633316,0.05498184601633316
RPS20,14828,PC1,-0.05473630995595305,0.05473630995595305
ELAVL4,988,PC1,0.054697232096900604,0.054697232096900604
RPS7,3255,PC1,-0.05451898330821378,0.05451898330821378
MDK,18750,PC1,-0.05450378723963257,0.05450378723963257
CELF4,28249,PC1,0.05423013586936212,0.05423013586936212
RTN4,3758,PC1,0.054003373414417494,0.054003373414417494
YWHAQ,3308,PC1,0.05398122879153294,0.05398122879153294
RPL27A,18411,PC1,-0.05345679056959933,0.05345679056959933
TAGLN3,6265,PC1,0.05338953016133451,0.05338953016133451
GDI1,14251,PC1,0.05319841822669918,0.05319841822669918
ELAVL3,29850,PC1,0.05257209817846636,0.05257209817846636
PODXL2,6437,PC1,0.052522800390342864,0.052522800390342864
RPLP1,24087,PC1,-0.05239959289309957,0.05239959289309957
PGM2L1,19400,PC1,0.05217351341681705,0.05217351341681705
RBFOX2,31918,PC1,0.052115444996218833,0.052115444996218833
UCHL1,7479,PC1,0.05202416781051663,0.05202416781051663
C4orf48,7188,PC1,0.05166571463732246,0.05166571463732246
YWHAH,31868,PC1,0.05158454786929952,0.05158454786929952
CXADR,32269,PC1,0.05143675399105751,0.05143675399105751
MARCKS,11325,PC1,0.051342450246829624,0.051342450246829624
RPL30,15179,PC1,-0.05133151503869521,0.05133151503869521
RPS12,11447,PC1,-0.05122173750811022,0.05122173750811022
RPL19,26912,PC1,-0.051071743972771456,0.051071743972771456
C12orf68,20598,PC1,0.05090010269121697,0.05090010269121697
GSTP1,19263,PC1,-0.05084559287061644,0.05084559287061644
RPL10A,10755,PC1,-0.05077616079338545,0.05077616079338545
GPC2,12621,PC1,0.05065655839401155,0.05065655839401155
SYT1,21135,PC1,0.05056597747778548,0.05056597747778548
RPS9,31188,PC1,-0.05019082787050745,0.05019082787050745
ZNF428,30709,PC1,0.05012956323260307,0.05012956323260307
CCNI,7746,PC1,0.050011747869513776,0.050011747869513776
NSG2,10010,PC1,0.049789432481379,0.049789432481379
TTC9B,30594,PC1,0.0497614519867384,0.0497614519867384
RPL35A,7134,PC1,-0.04947174961328118,0.04947174961328118
RPL28,31257,PC1,-0.049353430761501775,0.049353430761501775
RPL31,4171,PC1,-0.04920966469520185,0.04920966469520185
BEX1,13856,PC1,0.049181351889925534,0.049181351889925534
ACOT7,173,PC1,0.04884724838865713,0.04884724838865713
HSPB1,12429,PC1,-0.048807187257383665,0.048807187257383665
CFL1,19175,PC1,0.04877132469105227,0.04877132469105227
RPS3A,8218,PC1,-0.04870286589106401,0.04870286589106401
RPL36,29619,PC1,-0.04865193419466135,0.04865193419466135
FXYD7,30377,PC1,0.04864478824109791,0.04864478824109791
PRDX6,2373,PC1,-0.04835548004546705,0.04835548004546705
RPS15A,24977,PC1,-0.04834893483612929,0.04834893483612929
RPS27,1989,PC1,-0.04833804191455675,0.04833804191455675
DPYSL2,14577,PC1,0.04816143747922734,0.04816143747922734
RPS27A,3761,PC1,-0.0475144228738546,0.0475144228738546
RPL29,5947,PC1,-0.04740601459058219,0.04740601459058219
RPL12,16567,PC1,-0.04733881290081831,0.04733881290081831
PCSK1N,13541,PC1,0.04729768803089436,0.04729768803089436
SCG5,23595,PC1,0.04723713447002534,0.04723713447002534
RUFY3,7671,PC1,0.04715309565631023,0.04715309565631023
YWHAB,29072,PC1,0.04708307972306256,0.04708307972306256
HMGN3,11108,PC1,-0.04701645575360424,0.04701645575360424
RPL7A,16713,PC1,-0.04700063375138107,0.04700063375138107
DPYSL3,9748,PC1,0.04695599234157882,0.04695599234157882
CDC42,464,PC1,0.04671128670579171,0.04671128670579171
EEF1D,15541,PC1,-0.04667986339308764,0.04667986339308764
MAP4,5821,PC1,0.046668375713711185,0.046668375713711185
