PC,n_lines,mean_value,observed_std,rms_se,median_se,variance_ratio,icc,variance_ratio_excl_pool11,icc_excl_pool11
PC8,138,3.0809367272743113,8.833874192631214,0.19570361464892727,0.07826198032658635,2037.5333486057384,0.9995092104869429,31.589997197309813,0.9683444099803479
PC9,138,1.8206566622729865,5.209044091957838,0.16096103605270856,0.08343946010517309,1047.3083099236803,0.9990451713306153,49.06866655079998,0.9796203958596528
PC2,138,1.7846702976827324,4.761915797084181,0.18487288718356598,0.11513467855005775,663.4634091581515,0.9984927578730094,389.3118578881565,0.997431365164615
PC6,138,-0.9312600645746404,3.552302232092745,0.14764188072812692,0.09020380201803077,578.8961747859514,0.9982725745244909,128.22039191006115,0.9922009285332598
PC7,138,-0.4730645848233442,2.2969862107249646,0.1382322081740293,0.07544304718938061,276.12026706388565,0.9963783897117243,134.21917782523946,0.9925494998836749
PC3,138,0.6114265887521341,2.3403761541630104,0.21555484580801537,0.11995436087233764,117.8842400001159,0.9915171018619705,58.49792630564636,0.9829053769397723
PC5,138,0.518617376365547,1.712023698865805,0.20588350837304473,0.13228405438421093,69.14749057028702,0.9855381592050182,32.07216413131776,0.9688203142168532
PC10,138,0.3603607210031353,1.072392504413086,0.1330442219032375,0.07863141135925535,64.97039448302766,0.984608374199402,39.51635823289222,0.974694024330217
PC4,138,0.38838929220068,1.3140485863987215,0.22801547200450378,0.12935655376509797,33.211937547578714,0.969890344441139,31.75562841000673,0.9685095194121592
PC1,138,0.5808161624620876,1.9032545937091983,0.3856883726268791,0.2193931827462818,24.351217551400296,0.9589342915651257,12.373188709015352,0.9191800898283091
