cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split
HPSI0714i-kute_5,pool5,2.377502300738307,0.5654771687089996,-0.4255933358813944,0.2132667723281739,0.24166333205249224,-0.19613569048955995,0.11311735871349154,-0.9385201900349294,-0.11107960198239071,0.5216073769644788,0.4166666666666667,0.03333333333333333,0.55,donor_grouped,0,1,train
HPSI0714i-oatm_1,pool6,-0.010508887875968516,-3.2297650162342655,1.3282538696171267,-0.26537324359852,0.03328012636903227,-0.5689509603686845,-1.2356618824737415,-0.4495646620321186,-0.5869216672843784,0.8320014439208367,0.48307692307692307,0.08384615384615385,0.4330769230769231,donor_grouped,0,1,train
HPSI0714i-pipw_4,pool3,0.5809497096244266,0.921223463965065,-0.7289990288389492,2.646289099300424,-0.5182338377217678,-0.9688086837900486,-0.019398618658892877,-1.1085760602296066,-1.870912923584823,0.14443187521725043,0.5686700458604875,0.002172338884866039,0.4291576152546464,donor_grouped,0,1,train
HPSI0715i-aowh_2,pool8,0.8626280611735624,-2.2502126335995327,-2.207969474072608,-1.057442740476982,0.9503447343781973,1.7480069684871924,1.509599512305504,-0.25810314118664507,-0.4602807511744874,0.7326929100550222,0.5198412698412699,0.00992063492063492,0.47023809523809523,donor_grouped,0,1,test
HPSI0715i-meue_5,pool2,0.5971092301023287,5.183954253362534,1.237543132749363,2.2920976849285664,0.03469385258512958,-1.493000254894944,-2.5758747160255155,-2.3769809749150514,-1.0475844649181947,-0.6789647099731602,0.6105769230769231,0.021634615384615384,0.36778846153846156,donor_grouped,0,1,test
HPSI0715i-meue_5,pool3,-0.24287415323512423,1.214269173915324,-0.768486989243366,4.160727278867208,-1.747372668220299,-1.2822848600585777,0.3341772897221675,-1.6272476446229316,-1.1643113624258947,-0.13686972289084348,0.6390658174097664,0.0021231422505307855,0.35881104033970274,donor_grouped,0,1,test
HPSI0715i-zaie_5,pool8,1.8429045821992098,-0.5769968220822367,-2.0172029858000906,0.5401175152997788,0.7388048947157827,2.2748007413368656,2.127982931007056,-0.7348810817094069,-0.11794278808432296,-0.9157864265044411,0.47223955084217095,0.0012476606363069245,0.5265127885215222,donor_grouped,0,1,test
HPSI0814i-bokz_6,pool4,1.6661112338721065,1.4376817547984713,-1.3550345242363393,1.8471336134483152,0.5709284035798794,1.5800562679753416,0.5096191957347934,-0.0055925821778340015,1.0970938090940707,0.4530269287785301,0.5255972696245734,0.0,0.47440273037542663,donor_grouped,0,1,test
HPSI0814i-siqu_4,pool7,-0.6982326545132276,5.282008156659469,-0.7043749675981913,-0.38029034943804646,-0.47121422390854945,-0.38717066371956943,0.6032763466420313,0.6391943090825494,0.05917188722727053,-0.1697309933323465,0.6446991404011462,0.008595988538681949,0.3467048710601719,donor_grouped,0,1,test
HPSI0913i-eika_2,pool9,0.8936110161111976,-0.923055411289196,-1.940619532773758,0.27223877677472386,2.1064687030152354,1.6378453308306673,0.816345161148938,-0.3598860992072726,-0.8166748210700047,1.5119027954734319,0.5659340659340659,0.0,0.4340659340659341,donor_grouped,0,1,train
HPSI0914i-iezw_2,pool5,-0.09311823384092284,2.4653899742221954,0.04215122837085974,-0.06405760750894328,-1.2536708165771433,1.799628800996253,2.14932241071523,-0.05296822841834589,2.1157636112084024,-2.147401895249089,0.6369168356997972,0.008113590263691683,0.35496957403651114,donor_grouped,0,1,train
HPSI0914i-jejf_2,pool5,0.6581674901351895,2.425712083210162,-0.8673793511524586,1.1925088877361139,-0.5199482096678784,1.457575434646347,1.7645308700186446,0.12938893518416586,0.5286211376085456,-2.058732760583488,0.5791190864600326,0.004078303425774877,0.4168026101141925,donor_grouped,0,1,train
HPSI0914i-kajh_2,pool5,0.9180023341202611,1.7847995379024753,-1.0099470494671534,0.7565769687373052,-1.5090734440094666,1.2251887092827631,2.0554044007283534,-0.15887505295244395,0.4858361801353863,-1.7025600420137645,0.5296610169491526,0.00211864406779661,0.4682203389830508,donor_grouped,0,1,train
HPSI0914i-laey_6,pool5,0.5019807851887633,2.4543564351993266,-1.1553891656864965,-0.17399042462422457,-1.190995156386595,1.1898145202779606,2.0218646809082537,-0.7609154256984363,-0.10813205725623562,-0.3234346449440004,0.5759493670886076,0.0,0.4240506329113924,donor_grouped,0,1,train
HPSI0914i-laey_6,pool6,-0.17014679581353198,-0.1585558608826871,-1.1389002172180027,0.2693236937620623,-2.239932515235453,-0.9384942410025976,2.0544119956876226,-1.1228046676317114,-1.2498691762198175,-0.7264601163009091,0.5317667536988686,0.0026109660574412533,0.4656222802436902,donor_grouped,0,1,train
HPSI0914i-ouvb_2,pool8,1.5472770134432092,-1.5450374557984345,-2.343107963510724,-0.7963154916731939,1.0521780103519691,2.252315551835816,2.527007483268496,-0.4890250055258832,-0.4447017120981264,-0.6833290436440869,0.4823695345557123,0.0007052186177715092,0.5169252468265162,donor_grouped,0,1,train
HPSI0914i-ouvb_2,pool9,1.5805647148516075,0.11584510484768686,-2.0202489659364056,0.25895903634433204,1.503625191100341,2.5302070034816793,2.043575742532774,-0.08703802081110605,-0.5991774938884956,-1.124223166625667,0.53710407239819,0.0018099547511312218,0.46108597285067876,donor_grouped,0,1,train
HPSI0914i-rejf_2,pool9,-1.214998590098532,-2.9583747697317144,3.9308081728099062,-0.29102084624758323,1.729118948731104,1.967325282862611,0.2720966499451818,0.08635369473010183,0.5635045573760081,-0.25705723847862194,0.44798785117691725,0.19134396355353075,0.360668185269552,donor_grouped,0,1,train
HPSI0914i-suop_5,pool1,1.2073838686745337,5.9195028640221,-0.2716813813703292,0.5351926620180864,1.1946963123123269,-0.01774408449259112,-0.696034746135197,-1.0333447178149162,1.2917782856982505,2.323183378973572,0.5841463414634146,0.003658536585365854,0.4121951219512195,donor_grouped,0,1,train
HPSI0914i-vaka_5,pool3,0.4502282218414369,0.689748307924368,-0.5276607632962121,1.8276758619348334,-1.47695156694856,-1.3659823811739424,1.2423088965408393,-1.616500602725535,-0.9457028646504646,-0.13462644894870152,0.554559043348281,0.008221225710014948,0.437219730941704,donor_grouped,0,1,train
