model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
logistic_l1,0,C=0.01,0.502703373015873,0.010358403712521776,0.697061106282015,0.005319638154995011,0.5019345238095239,0.009600489097150723,0.5229166666666666,0.1938731687355307,0.4809523809523809,0.1930383236734394,0.5787523868926594,0.1340410623337044,0.25130797051548354,0.0056837998494409315,plain,False,flat,,
logistic_l1,0,C=0.1,0.9509920634920634,0.005744600642597326,0.9671303038920556,0.008362275683280667,0.893452380952381,0.005019488349473653,0.9583333333333334,0.0,0.8285714285714286,0.010038976698947249,0.9426268969126111,0.0020298590248420583,0.09025589563459151,0.0008109528558788503,plain,False,flat,,
logistic_l1,0,C=1.0,0.9472718253968253,0.005019488349473598,0.9617655920641942,0.005929557906886968,0.8919642857142858,0.00729689505890212,0.9291666666666668,0.004392052305789391,0.8547619047619047,0.013515386004703497,0.932569463580417,0.0037869667458651714,0.06869188946415195,0.0016899734744767719,plain,False,flat,,
logistic_l1,0,C=10.0,0.9457093253968253,0.0062650400104228635,0.9607940083091421,0.007718799133156021,0.9017857142857142,0.0069089227565397714,0.925,0.004392052305789436,0.8785714285714284,0.013515386004703506,0.9352317676098332,0.003496668992616886,0.06947046308913485,0.0022043543253604126,plain,False,flat,,
logistic_l1,0,C=100.0,0.9455357142857143,0.006552710996372142,0.9607762305270742,0.00799006492093795,0.9024553571428571,0.007452453983321197,0.9239583333333334,0.005031728036871362,0.880952380952381,0.01587301587301589,0.9351645783601132,0.0034686307640513976,0.06964168690557984,0.0022743456962997107,plain,False,flat,,
logistic_l1,1,C=0.01,0.5045138888888889,0.011725903242407914,0.6981679710852277,0.005575678081245809,0.5023065476190476,0.009296129880437771,0.559375,0.15621527391889553,0.44523809523809527,0.160329246777168,0.6102180036854259,0.09444559221566927,0.24925888920832814,0.005535841442150507,plain,False,flat,,
logistic_l1,1,C=0.1,0.9502480158730158,0.0027746265824607364,0.9626342233803843,0.003652525318596766,0.9033482142857142,0.006229593955040004,0.9614583333333334,0.0050317280368713255,0.8452380952380952,0.012548720873684001,0.9476389001278545,0.003231217701847642,0.09033332266439621,0.00103142130899688,plain,False,flat,,
logistic_l1,1,C=1.0,0.9447420634920635,0.005753635656020207,0.9590966651963452,0.007283097652352752,0.9087053571428572,0.004560390811306767,0.9364583333333334,0.009120781622613634,0.880952380952381,0.0,0.9418343551942684,0.004849539256633123,0.06948454202293494,0.00226251371030722,plain,False,flat,,
logistic_l1,1,C=10.0,0.9401041666666666,0.006555891455991876,0.9533042616094398,0.008212989841873712,0.90625,0.005154913117764518,0.9291666666666666,0.01075828707279838,0.8833333333333334,0.0075292325242104375,0.9384272188546012,0.005314621412793234,0.06927474371836574,0.0029662968038039203,plain,False,flat,,
logistic_l1,1,C=100.0,0.939236111111111,0.007314482923477091,0.952455848179703,0.007986388412760047,0.9057291666666666,0.005083417940698292,0.928125,0.010358634645955773,0.8833333333333334,0.0075292325242104375,0.9378705916845819,0.005139946324825254,0.06945753473319964,0.0031768286792252355,plain,False,flat,,
