model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
lasso,0,alpha=0.001,0.1674753960970699,0.0010641333308348746,0.2046761512609482,0.0010664971610370487,0.5285046955684755,0.004917949484583227,0.05507246376811594,0.009166022203386606,plain,False,flat,,
lasso,0,alpha=0.01,0.16900430093588623,0.0010642465919791938,0.20510323122790836,0.0011478829113671207,0.5265332086681118,0.005304354409110326,0.050724637681159424,0.0068319495766816195,plain,False,flat,,
lasso,0,alpha=0.1,0.19541290601754407,0.0007862093982705458,0.22661916605296528,0.0007338947257007699,0.4219975899396691,0.0037443071529800484,0.007246376811594203,0.0,plain,False,flat,,
lasso,0,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,0,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,1,alpha=0.001,0.16511404760622161,0.0011982431425166932,0.2014371367652906,0.001586301937775599,0.5432951811101144,0.00719512799049962,0.060144927536231886,0.005965743495279451,plain,False,flat,,
lasso,1,alpha=0.01,0.16560081751476033,0.0009576959920361349,0.20127290017247526,0.0010352775372120429,0.5440541932095155,0.004690770849840015,0.052898550724637686,0.0035003325473887503,plain,False,flat,,
lasso,1,alpha=0.1,0.1954708880287414,0.0007242436412976859,0.226641567693686,0.0007180436147888681,0.4218835457007396,0.0036652795010012427,0.007246376811594203,0.0,plain,False,flat,,
lasso,1,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,1,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,2,alpha=0.001,0.14805321743914143,0.005528534907969776,0.18259341828841216,0.006320083921100977,0.6243611189709911,0.025922956198970944,0.05579710144927537,0.00767644859037232,plain,False,flat,,
lasso,2,alpha=0.01,0.14882958890076095,0.004880921836807646,0.18180923538152532,0.005720893085917521,0.6276503116028207,0.023352127766875834,0.052898550724637686,0.004890931577612703,plain,False,flat,,
lasso,2,alpha=0.1,0.18347889072799584,0.004237522643722559,0.21198105425591446,0.005004231713491959,0.49400742760360694,0.023890289992686428,0.007246376811594203,0.0,plain,False,flat,,
