feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.2008,0.1403,False,1.0,-0.0004,individual,0.0629,grouped (all proportions permuted together),0.1018,0.755,High (pool-associated)
phat_NB,-0.7331,-0.9081,False,1.0,0.0062,individual,0.0629,grouped (all proportions permuted together),0.7043,0.037,Low
phat_P_FPP,0.4096,reference (=1-FPP-NB),,,0.0062,grouped (FPP+NB dropped together),0.0629,grouped (all proportions permuted together),,0.651,High (pool-associated)
PC1,0.5835,0.4813,False,1.0,-0.0024,individual,0.0089,individual,0.3625,0.49,Moderate
PC2,0.593,0.7675,False,1.0,0.0152,individual,0.0376,individual,0.6087,0.764,High (pool-associated)
PC3,-0.37,-0.3626,False,1.0,0.0029,individual,0.0228,individual,0.2736,0.498,Moderate
PC4,0.4768,0.3909,False,1.0,0.0007,individual,0.0101,individual,0.3087,0.448,Moderate
