cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split
HPSI0114i-eipl_1,pool1,0.26817490308527836,3.804355703577215,1.8733872848759838,-1.5913451665343414,0.9772881387049582,-0.8516156629186715,-1.0515732555815689,-0.27532950759757785,0.24646767355395616,1.4252127509407682,0.5364132178376644,0.07314725697786333,0.3904395251844722,plain,0,0,train
HPSI0114i-wegi_1,pool6,-0.4320874947362123,0.18521884818218093,-1.6562092989459518,0.0016985043732398568,-1.386700180013031,0.23501712571978375,1.8582042760861317,-0.9399525557000605,-1.0391538268900087,-0.7161676969856954,0.5504220346512662,0.0,0.4495779653487339,plain,0,0,test
HPSI0114i-wegi_1,pool7,-1.0533743927881383,6.020891981605607,-0.11765938944902948,-0.347169695232188,-1.2628541131192814,-0.3336884194705608,0.13722655686417443,-0.06662772106719644,0.8458181970918497,-0.7199225745700651,0.6711111111111111,0.0044444444444444444,0.3244444444444444,plain,0,0,test
HPSI0115i-aion_2,pool4,1.606337808813313,0.38270354247693367,-1.1625217781873518,1.1102696299610646,0.08385294807673056,1.6888563126874474,0.9639233903192962,0.5847309175008005,0.9635431279029253,0.6749001003234275,0.5584594222833562,0.002751031636863824,0.43878954607977994,plain,0,0,train
HPSI0115i-aoxv_1,pool8,-0.6940771086629293,-3.9519571487978284,-1.468384756338381,-1.7698292069975725,0.5491980007369092,1.8101156082794425,0.44772817657969644,0.2526843212226214,0.45236026169485416,0.7694664282551552,0.5391785610253422,0.030585493737256043,0.43023594523740166,plain,0,0,train
HPSI0115i-bimq_4,pool4,-1.3450324639911986,-1.9271899564378359,1.913191041569518,-1.0350117991165035,0.5130268643571732,1.4012751815052036,-1.0322175345837727,0.7591272830566217,1.4916154135097113,1.2432343362547453,0.5390749601275917,0.13237639553429026,0.32854864433811803,plain,0,0,train
HPSI0115i-boqx_2,pool4,-0.030524663550658877,-0.7097339039733466,-1.011413198127014,2.5242851172483363,-0.7637531361990548,1.4137228092047298,0.23771358265435527,0.543438117304778,1.9496206002388847,0.5803959686690668,0.6041666666666666,0.006944444444444444,0.3888888888888889,plain,0,0,train
HPSI0115i-gifk_1,pool4,2.330132015596354,1.7296584975897942,-1.62298766227943,2.0019298740303797,1.8457892448190738,1.737013765991299,1.167050402224971,0.3559810458520847,0.9686822730027573,0.4879605821965186,0.4779874213836478,0.0,0.5220125786163522,plain,0,0,train
HPSI0115i-gost_2,pool2,0.8177815693200752,6.23663345011384,1.5711244872945564,1.2661774858804498,0.6703810155058905,-1.9445551284018094,-4.270358913462082,-3.391211199169322,-0.5685817892133532,-1.0769996354588103,0.5774477114277053,0.010306153379812064,0.41224613519248254,plain,0,0,train
HPSI0115i-hecn_6,pool2,0.8576093702545987,5.274836858322071,1.2107861417895327,1.6412598078533098,0.3385781598358395,-1.0701315522080102,-0.9474209533761139,-1.9549394146583765,-1.3775310908595984,-1.3667115560915912,0.6081708449396471,0.02135561745589601,0.37047353760445684,plain,0,0,train
HPSI0115i-hecn_6,pool3,0.5686008438980595,1.365252596956814,-0.7626811467532728,3.6953836655057977,-1.2079105869633173,-1.194445981321993,1.6665866006323795,-0.9713994299942875,-1.711114057620833,-0.8689729011324852,0.5654596100278552,0.001392757660167131,0.4331476323119777,plain,0,0,train
HPSI0115i-iiyk_2,pool5,1.4938635589205547,0.7555331822543477,-1.0330823280882282,-0.572558461390807,-0.0760744974794626,0.06747828225103565,0.7641502917135106,0.47234315154207573,-0.9790490450920764,0.5565239388472878,0.5298013245033113,0.0,0.47019867549668876,plain,0,0,train
HPSI0115i-iuad_2,pool7,0.06172919832009232,4.7621269594850215,-0.20099343816919946,0.7088726408740063,-0.05532120362397867,-1.3940502542081503,-0.9921373427116336,-0.2090131933206557,-0.03440629927981666,0.47832541170764975,0.5497382198952879,0.020942408376963352,0.4293193717277487,plain,0,0,train
HPSI0115i-jakt_1,pool2,0.8548229849344768,5.609964891344537,0.7069664257012459,2.3736562546535054,-0.5957626363127199,-0.33406978261334885,-0.7927813198097675,-2.507914249574973,-0.5887700387644395,-0.8012626080244728,0.6421291053227633,0.010192525481313703,0.347678369195923,plain,0,0,train
HPSI0115i-melw_1,pool5,-0.044938412972543446,2.4335385427353087,-0.9256160278186484,5.155776063386192,-0.24468836455546478,0.845285085710249,0.3747484407696072,-0.6525994802391428,-0.7850892554213866,0.6950583386084221,0.6206896551724138,0.0,0.3793103448275862,plain,0,0,train
HPSI0115i-paim_1,pool1,1.3048805108155452,4.935327896062751,0.02505963582871936,-0.04732560733944498,0.5003022506679394,-0.29237177891916655,-0.06302784940202442,-0.4373206398006105,-0.11227806316603002,0.9705533583037668,0.549618320610687,0.007633587786259542,0.44274809160305345,plain,0,0,train
HPSI0115i-qecv_2,pool5,3.4729583392115044,1.5411728452946303,-0.5362124048453989,-0.119402815433511,-1.5023333164675865,-0.18663794782790905,1.0416647718118075,0.1852931198341758,-0.7532048420567814,0.32131522865254525,0.48,0.0,0.52,plain,0,0,train
HPSI0115i-quze_6,pool9,-0.014502406006856117,-2.367880738593243,-0.7197986181053184,-0.2705508439195299,0.843890395893512,1.3287538734109414,-0.15440633162347359,0.3184762112041517,0.1619532365796547,0.2815210226023475,0.5473372781065089,0.03994082840236687,0.41272189349112426,plain,0,0,train
HPSI0115i-sehp_2,pool7,1.022843024342191,5.547092796478125,-0.042642840858108516,-1.0898788358020395,-0.5053819567890883,-1.0447353379957904,-0.154477085521254,0.26495367666501923,0.42476416104275994,0.045694579417806705,0.5789473684210527,0.0,0.42105263157894735,plain,0,0,train
HPSI0115i-tiku_3,pool9,0.5632175791871711,-2.3539107646475768,-1.6134491218264118,0.06081687479232622,0.9951608700916998,1.7614814962272691,0.20258231240838742,0.5490037952968299,-0.627050673007226,0.23027502103615252,0.544,0.016,0.44,plain,0,0,train
HPSI0115i-uupc_2,pool7,-0.4274612912497637,3.3313669921952815,0.11965964409658911,-1.0782891180304701,0.03850173045882899,-0.5164206282086305,1.5672607892721757,0.47492500522589803,-0.2973801595653363,-0.6406506951996795,0.5797101449275363,0.043478260869565216,0.37681159420289856,plain,0,0,train
HPSI0115i-zihe_1,pool6,-1.9498414088577811,-2.8783999154945943,0.9045574253480566,-0.28859697371652643,-2.106939159310057,-1.9254317233221268,0.41511184806641815,-0.3716140432847131,-1.1429719868038946,0.2823665128283593,0.5400739827373613,0.09001233045622688,0.36991368680641185,plain,0,0,train
HPSI0214i-datg_2,pool9,1.9388560882107122,0.21174314663624277,-1.8719400381367515,1.1786200334671977,1.5380390867449556,3.0637584374811517,2.3572715679174743,0.45481849385509404,-0.14303810263727512,-1.7304907177772813,0.5002380952380953,0.0002380952380952381,0.49952380952380954,plain,0,0,train
HPSI0214i-eiwy_1,pool1,0.7807442750495014,6.338100268732536,-0.18071006347718824,0.5726746982404705,0.3972361897788416,0.17366476578465653,1.8860466137928644,-0.7970088376759988,0.21521061707130157,1.1107735927047686,0.5864714086471409,0.002789400278940028,0.4107391910739191,plain,0,0,train
HPSI0214i-feec_2,pool4,-2.3914161317544123,-3.095026366569436,4.69450292467412,-0.9195615175087098,0.5949461914966467,0.7716944644866887,-0.9657013311434914,0.8417475615004606,0.9827550073579149,1.2102692159867054,0.5275862068965518,0.2103448275862069,0.2620689655172414,plain,0,0,test
