feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.20082898341135966,0.0,True,0.0,0.0,individual,0.0,0.755,High (pool-associated)
phat_NB,-0.7331107514576981,-1.5347,False,0.88,0.0484,individual,0.0679,0.037,Low
phat_P_FPP,0.4095646197129303,reference (=1-FPP-NB),,,0.0595,grouped (FPP+NB dropped together),,0.651,High (pool-associated)
PC1,0.5835109832975726,0.0,True,0.08,0.0,individual,0.0,0.49,Moderate
PC2,0.5929989667658258,0.6476,False,0.84,0.0022,individual,2.4365,0.764,High (pool-associated)
