feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.1907,-0.0551,False,1.0,-0.003,individual,0.0648,grouped (all proportions permuted together),0.04,0.755,High (pool-associated)
phat_NB,-0.7273,0.1187,False,1.0,0.0034,individual,0.0648,grouped (all proportions permuted together),0.0921,0.037,Low
phat_P_FPP,0.3431,reference (=1-FPP-NB),,,-0.0002,grouped (FPP+NB dropped together),0.0648,grouped (all proportions permuted together),,0.651,High (pool-associated)
PC1,0.5632,0.0144,False,1.0,-0.0033,individual,0.0086,individual,0.0109,0.49,Moderate
PC2,0.6695,0.3497,False,1.0,0.0194,individual,0.2037,individual,0.2773,0.764,High (pool-associated)
PC3,-0.2206,-0.2998,False,1.0,0.0149,individual,0.1757,individual,0.2262,0.498,Moderate
PC4,0.5253,0.0477,False,1.0,-0.0017,individual,0.017,individual,0.0376,0.448,Moderate
PC5,-0.0182,-0.0661,False,1.0,0.0022,individual,0.0132,individual,0.0508,0.788,High (pool-associated)
