feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.1907,-0.0774,False,1.0,0.0003,individual,0.0255,grouped (all proportions permuted together),0.0562,0.755,High (pool-associated)
phat_NB,-0.7273,0.0285,False,0.78,-0.0003,individual,0.0255,grouped (all proportions permuted together),0.0221,0.037,Low
phat_P_FPP,0.3431,reference (=1-FPP-NB),,,-0.0003,grouped (FPP+NB dropped together),0.0255,grouped (all proportions permuted together),,0.651,High (pool-associated)
PC1,0.5262,-0.0,True,0.9,-0.0028,individual,0.0024,individual,0.0,0.462,Moderate
PC2,-0.8085,-0.2396,False,1.0,0.0104,individual,0.1653,individual,0.19,0.114,Low
PC3,0.5784,0.0855,False,0.92,0.0125,individual,0.0608,individual,0.0645,0.832,High (pool-associated)
PC4,0.4999,0.0501,False,1.0,-0.0013,individual,0.0141,individual,0.0396,0.465,Moderate
PC5,0.1533,-0.0725,False,1.0,0.0013,individual,0.0177,individual,0.0558,0.846,High (pool-associated)
PC6,-0.1142,0.0344,False,1.0,0.0013,individual,0.0052,individual,0.0235,0.79,High (pool-associated)
