model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning
lasso,0.0,alpha=0.001,0.16742504254494678,0.001055606624455184,0.20466871430720895,0.0010603883177375557,0.5285390894901252,0.004889586714017045,0.05507246376811594,0.009166022203386606,plain,False,flat
lasso,0.0,alpha=0.01,0.1684209785767933,0.0010031580061610659,0.204765637483715,0.0010807948619133802,0.5280920207074391,0.004985581284578308,0.050724637681159424,0.0068319495766816195,plain,False,flat
lasso,0.0,alpha=0.1,0.19541290601754407,0.0007862093982705458,0.22661916605296528,0.0007338947257007699,0.4219975899396691,0.0037443071529800484,0.007246376811594203,0.0,plain,False,flat
lasso,0.0,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,0.0,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,1.0,alpha=0.001,0.1615608371981259,0.0013196665754450106,0.19819623187122357,0.001320760180483017,0.5578797369125966,0.005890504047028995,0.060144927536231886,0.003500332547388752,plain,False,flat
lasso,1.0,alpha=0.01,0.16377055530032256,0.0011075545857543913,0.19921809339127833,0.0010446621096894273,0.5533158087515045,0.004685548783973934,0.053623188405797106,0.003742012894886389,plain,False,flat
lasso,1.0,alpha=0.1,0.1952753018633984,0.0007793997628348221,0.22637828948400734,0.0007590691654501613,0.42322527774794844,0.0038702098627796068,0.007246376811594203,0.0,plain,False,flat
lasso,1.0,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,1.0,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,2.0,alpha=0.001,0.1484306856496194,0.0044500133876971566,0.18219358401382918,0.004572198696901182,0.6261955038653175,0.018872795365125837,0.057971014492753624,0.007638351836155504,plain,False,flat
lasso,2.0,alpha=0.01,0.150105687089406,0.004260635124987787,0.1824710399907688,0.00450427399993263,0.6250630206916148,0.018452916621690442,0.05434782608695652,0.007042212433388042,plain,False,flat
lasso,2.0,alpha=0.1,0.1886238251831504,0.0031401434229708647,0.21585518524282654,0.0041504103156799815,0.47543207887468364,0.020034880160710766,0.007246376811594203,0.0,plain,False,flat
lasso,2.0,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,2.0,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,3.0,alpha=0.001,0.1339580803077312,0.002574179630990705,0.1701566783086596,0.0031518555056722153,0.674039959346247,0.012157335882733588,0.04927536231884058,0.004583011101693305,plain,False,flat
lasso,3.0,alpha=0.01,0.13896483501876297,0.0032089903224939917,0.17175484487221787,0.003645174418054501,0.6678560951200915,0.014110395806204696,0.04855072463768116,0.004890931577612703,plain,False,flat
lasso,3.0,alpha=0.1,0.18648768489580494,0.0028048355961638916,0.21283118689949054,0.003363641131683564,0.4900819007600884,0.016128104003780043,0.007246376811594203,0.0,plain,False,flat
lasso,3.0,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,3.0,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,4.0,alpha=0.001,0.13265560103935176,0.0028494117415349607,0.16656417396087317,0.0037687845546055783,0.6876111463024066,0.014153931647762574,0.051449275362318844,0.005346846285308854,plain,False,flat
lasso,4.0,alpha=0.01,0.13624674000337852,0.0036144661091446076,0.16787679548243775,0.0042930087453494185,0.6826276067491434,0.016220578307723152,0.050724637681159424,0.0,plain,False,flat
lasso,4.0,alpha=0.1,0.18631295975734466,0.0027159894406004565,0.2125323879687883,0.003204911345923537,0.4915229081839428,0.015380801381204604,0.007246376811594203,0.0,plain,False,flat
lasso,4.0,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,4.0,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,5.0,alpha=0.001,0.1311141955469846,0.0025932949620312783,0.16465378242929932,0.003537964035250959,0.6947496813726828,0.013111552434828352,0.05217391304347826,0.007484025789772786,plain,False,flat
lasso,5.0,alpha=0.01,0.1368533453611976,0.0035573528495922283,0.16826538371675567,0.004255330282042758,0.6811607758215668,0.016091462297062466,0.05217391304347826,0.003055340734462203,plain,False,flat
lasso,5.0,alpha=0.1,0.18631295975734466,0.0027159894406004565,0.2125323879687883,0.003204911345923537,0.4915229081839428,0.015380801381204604,0.007246376811594203,0.0,plain,False,flat
lasso,5.0,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,5.0,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat
lasso,6.0,alpha=0.001,0.1315677705601,0.002678521924261168,0.16543792640213972,0.003491548363367254,0.6918398373043657,0.01299908844144878,0.05217391304347826,0.008907772422505204,plain,False,flat
