PC,explained_variance_ratio
PC1,0.05393870300110506
PC2,0.026450760448357816
PC3,0.02592374655755616
PC4,0.020324795977999195
PC5,0.01789321400667666
PC6,0.01156081738102085
PC7,0.009447269046138426
PC8,0.008457649986570741
PC9,0.007949452653376397
PC10,0.007107991308741118
