cell_line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HPSI0114i-eipl_1,0.2699013039880216,-0.0723823580838889,4.569374250067537,-1.9533448999624552,1.2328804844180417,-1.9597934140809166,-2.007412109585326,0.6208115375242327,1.2533628142303082,1.0495110678171857
HPSI0114i-wegi_1,-1.0578692577887243,-2.3827955087925434,3.028599632499049,-0.3151720653558135,-1.4938061947826424,-0.14228482535939158,2.074350828432585,-0.14427742564368237,-0.30400200239959463,-0.388980154198148
HPSI0115i-aion_2,1.6799452722325594,-1.2787872528051278,0.5727385802854625,0.7858421860097367,0.4738665722674297,1.6268129131550741,0.43993472530031136,0.7449909597250057,1.012937742808992,0.4904723052426462
HPSI0115i-aoxv_1,-0.5761441145934599,0.31036899705459436,-3.6456412827012086,-2.2124092166981693,-0.06046088641859517,1.688888678749498,0.5176464737059467,0.1293431257731855,0.5563652398079554,0.8464585072442609
HPSI0115i-bimq_4,-1.4046482284135675,2.5106799801898227,-0.3893483980846231,-1.5586219112620863,0.4412344953837391,1.3793651456754004,-1.5414793697271896,1.239386962885873,1.1159947701769926,1.168307971706143
HPSI0115i-boqx_2,-0.01633805625482411,-0.6282083643662998,-0.41766245068521396,2.3050095937819113,-0.13053526995572742,1.5789629692018126,-0.24263843233566545,1.763208184399584,1.5763674221909667,0.03528948368103763
HPSI0115i-gifk_1,2.505526966000129,-2.2926071806235506,1.384814591171977,1.3599775626695358,2.539692121511921,1.3957493743912082,0.5015458143809233,0.9252205771811127,0.8915213634546596,0.22758210665356443
HPSI0115i-gost_2,0.6162891769030269,-1.4977607294169153,6.705258996324324,1.0108687402295782,1.2009999293576088,-3.606358380768961,-3.510473306113417,2.06676399477692,-4.008793777745156,0.17274186385206575
HPSI0115i-hecn_6,0.5767962485172472,-1.3924191931030236,3.723027629565518,2.6393453255117123,0.3404740357048333,-2.0137747484872546,0.22219299737566078,-0.3092400482741994,-1.8083896802070993,-0.7009119583127075
HPSI0115i-iiyk_2,1.548659705768701,-1.3713199802249905,0.8092660117780445,-0.7694322058120513,-0.13227681382338902,-0.4685473716220338,0.14375705625632676,-1.057587751915605,0.7347954663194889,0.2265203635491506
HPSI0115i-iuad_2,-0.3395568885832412,-2.4309856594869816,4.666866346580646,0.3928508938631373,-0.24372314384240823,-1.521058080740266,-0.33559907561846164,0.10466512832438053,-0.41871828466787164,0.8274506487944524
HPSI0115i-jakt_1,0.642338577383374,-2.0360814895233244,6.12438596012436,2.2809554810608246,0.3042382678421208,-1.705292625477617,-0.5927767961504568,1.22739199914155,-2.3706211469705374,-0.180103351306731
HPSI0115i-melw_1,-0.1955942555654371,-2.048495854761602,2.3617889711769764,4.898853903606869,0.9816283755556947,0.35131232197860696,0.44167601035204584,0.025303262806807426,-0.7448360889377785,0.7867219922342124
HPSI0115i-paim_1,1.37264136940615,-2.254751278226585,5.161612605870861,-0.22526720377864928,1.1981666283189503,-1.60129394101378,-1.3538865916853013,0.5693093995194118,1.026847946430326,0.38292147779977265
HPSI0115i-qecv_2,3.452701417654899,-1.1962742293255662,2.116996103099465,-0.007169311894986246,-1.560405057025259,-0.3894623934365433,0.6696904217342932,-0.7590069682974411,0.5288245520069921,-0.04575897046566671
HPSI0115i-quze_6,0.08085763489916842,0.2857568839218877,-2.101716132833817,-0.8228992183977193,0.6908104388053184,1.1345065267358936,-0.35092787038106904,0.025874810279359558,0.19387935312228316,0.38142438513649124
HPSI0115i-sehp_2,0.6780890110182529,-2.617047922314592,5.460045202523756,-1.302298841347558,-0.7880802982034607,-1.0056373111662165,0.3524205528512032,0.05742231169578742,0.4948631723848951,0.26563646017536996
HPSI0115i-tiku_3,0.7131110271257025,-0.5270060590987524,-2.351955644452592,-0.49288228875726653,0.8524193650651665,1.5708851599428744,-0.08987549940099683,-0.8264519984979846,-0.18954513979223134,0.36505478388574913
HPSI0115i-uupc_2,-0.7813066358089747,-1.5747682958381646,3.467290670277085,-1.4972925975694014,-0.35028283879244315,-0.3378553711128926,2.180638977734218,-1.0492130940411273,0.398701911931295,-0.2144565916810329
HPSI0115i-zihe_1,-2.1466522721827714,2.113577761202639,-1.558358989100748,-0.04553380764669414,-2.527718406926123,-2.149437397432959,0.5522418404617051,-1.0324143426229793,0.5819540247467643,-0.0369247258967322
HPSI0214i-datg_2,2.166594718148451,-2.010661586166543,-0.28215274299272297,0.42299097182269735,2.029271662527749,2.8073012176574474,2.280070130934029,-0.7857277223374481,0.17961005385022089,-1.6937392978629542
HPSI0214i-eiwy_1,0.8435095413987184,-3.121747534223961,6.330777751193488,0.34108648130925784,1.459894268768713,-1.1080565820639312,0.7985957052281898,0.49986155878792216,1.746217643917179,0.5084882103954641
HPSI0214i-feec_2,-2.3055109539468335,4.729734123206828,-0.7674023519933789,-1.1190213019711992,-0.5898025292161265,-0.4009105178637196,-2.0631667807944623,0.45528629406038845,0.6328252601316448,1.005030452088791
HPSI0214i-giju_3,1.7247743326567353,-2.1594295778029893,1.66052829414098,1.156208181151265,1.415471448890869,2.6590959890927386,2.325662471294949,0.3235187629583724,1.4155376922329288,-0.6785957706227509
HPSI0214i-heth_1,-1.8023026297562041,2.3544942399762334,-2.312163564200328,-0.5820806284906843,-1.2640545845824753,-0.15389608222386938,0.24575992318928502,-0.00658028352281016,0.7347308433262607,-0.4642139914787409
HPSI0214i-pelm_3,0.6654798419976697,-1.617873089455835,3.6820300452068597,2.348504655552592,0.39213775868061973,-1.949621235205433,0.03076059021852695,-0.11617616676711418,-1.776874123321196,-0.037952457592306685
HPSI0214i-poih_2,0.3666360044660178,-1.7134192110957789,2.079280356189386,0.4041219126631209,-0.7722480341636254,-0.673177402731591,0.10134495877517652,-0.458016221062116,0.37022467872002757,-0.3446604185861517
HPSI0214i-rayr_1,1.012994993747689,-1.795129928053747,6.580573143264008,2.2478554860171758,2.2566211029427805,-2.7813451197520482,-1.895677983799349,1.3562470494667374,-3.1933963507438263,0.25958385398897543
HPSI0215i-deyz_2,1.015355276726295,-2.157655994066657,1.817410667540982,0.8979103810170805,0.5937907228000221,3.4413151510402895,3.649821097221327,0.32786661910468734,1.8528511407252626,-1.4196010649455257
HPSI0215i-fawm_2,0.5741850994656235,-2.203666903367165,2.041306053789888,1.3244665122508381,0.1852515790681053,2.221589880205823,2.355782263569364,1.771116618939947,0.8886233775761037,-0.9305384149529435
HPSI0215i-hipn_1,-0.3810468013711904,-0.9621477928828286,1.8892460120371422,-0.41713129540821287,-1.1290804561559258,-2.088024934927056,-0.5903303446602803,-1.0539666565922114,-0.18302219661077598,0.5909921436367613
HPSI0215i-oilg_1,-0.512534897977632,2.784508575568338,-3.4156475124245143,-0.45206566856114705,0.3719488744443499,1.193966723954002,-2.201815371650907,0.7678663110439264,-0.28723180816598043,0.2261535274878741
HPSI0215i-romx_1,-1.4557557101861238,2.1241077819487924,-4.100061964321086,-1.7903566158833857,-0.7204953837325148,1.1627508216398803,-0.9704205996757406,0.9462180293429726,-0.03885026633704826,1.1200202526063265
HPSI0215i-uiao_2,-2.581835577477803,-1.4934985997902055,4.293643540840672,-0.41644224584969886,-0.6127018000093574,-0.6989007971436001,0.14317150027570252,0.7248140700317096,0.5817933840000987,0.43189948271082296
HPSI0215i-yoch_6,-1.2068826260926488,2.310456802761273,-4.505789606763258,-1.5448712963396718,-0.9386093692041028,-0.37569328193311335,-1.1518961201917506,0.5023217249760186,0.1639572583589087,0.20104120257968097
HPSI0215i-zett_5,1.9994500396195996,-2.2834512251148675,-0.8430679041637936,-0.6157865924009422,1.7041491998360025,2.263585437499567,2.9866860391172185,-1.0407747844739355,0.324046687695691,-0.3343066887535134
HPSI0314i-bubh_3,-0.7826651854437034,0.35691171941589606,-1.361093875403884,-0.8563682985733101,0.8212311773743981,2.6778103204794586,0.26975850097859516,0.1433482746118822,0.18583793978816956,-0.6471938062792655
HPSI0314i-cuhk_2,0.2875143094533569,1.6037301417593341,-0.4710413512949334,0.250181017870961,1.5290163612276348,2.377595092937285,-0.6643363550147421,1.5353969123788873,1.5558231860269898,0.5288973618926689
HPSI0314i-hoik_1,1.0080398602032175,-0.31760235258404557,-2.0280970254914283,-1.065154376471053,1.412621138741609,1.8620523245004026,0.3873332302429492,-0.38869975978655585,0.06932176455324346,-0.21003340647546584
