PC,explained_variance_ratio
PC1,0.05387149398922379
PC2,0.026791522101346617
PC3,0.025408170532370433
PC4,0.020307065542005134
PC5,0.018411390919142966
PC6,0.011484419832049418
PC7,0.009334738228987897
PC8,0.00851173263865118
PC9,0.007518298151971658
PC10,0.007094849735074932
