target,r_n_cells,p_n_cells,r_mean_total_counts,p_mean_total_counts,r_mean_n_genes_detected,p_mean_n_genes_detected,eta_sq_pool
phat_FPP,0.029052046269216945,0.7162174656317007,0.730266300187641,9.072752246584733e-28,0.7917409734340439,1.9751975128654626e-35,0.7928042424315904
phat_NB,0.036805817531736104,0.6450870903522904,0.05620772343338077,0.48160914742615957,0.002841300688957979,0.9716453055603332,0.03441331699580739
phat_P_FPP,-0.049198005211511325,0.5379991123818861,-0.7244081178778548,3.784724005872753e-27,-0.7511405599342473,4.060597193365236e-30,0.6885720464721016
