cell_line,donor,pool,n_cells_D11,n_cells_D30,n_cells_D52
HPSI0114i-eipl_1,HPSI0114i,pool1,3117.0,2591.0,25935.0
HPSI0114i-wegi_1,HPSI0114i,pool6,4502.0,2762.0,3472.0
HPSI0114i-wegi_1,HPSI0114i,pool7,225.0,617.0,511.0
HPSI0115i-aion_2,HPSI0115i,pool4,727.0,811.0,1159.0
HPSI0115i-aoxv_1,HPSI0115i,pool8,3433.0,3051.0,4009.0
HPSI0115i-bimq_4,HPSI0115i,pool4,627.0,726.0,2134.0
HPSI0115i-boqx_2,HPSI0115i,pool4,144.0,124.0,263.0
HPSI0115i-gifk_1,HPSI0115i,pool4,159.0,196.0,386.0
HPSI0115i-gost_2,HPSI0115i,pool2,3299.0,2845.0,2390.0
HPSI0115i-hecn_6,HPSI0115i,pool2,1077.0,1258.0,2071.0
HPSI0115i-hecn_6,HPSI0115i,pool3,718.0,414.0,1132.0
HPSI0115i-iiyk_2,HPSI0115i,pool5,151.0,189.0,178.0
HPSI0115i-iuad_2,HPSI0115i,pool7,191.0,2206.0,4626.0
HPSI0115i-jakt_1,HPSI0115i,pool2,883.0,2137.0,7130.0
HPSI0115i-melw_1,HPSI0115i,pool5,29.0,65.0,14.0
HPSI0115i-paim_1,HPSI0115i,pool1,4061.0,3918.0,21446.0
HPSI0115i-qecv_2,HPSI0115i,pool5,25.0,34.0,14.0
HPSI0115i-quze_6,HPSI0115i,pool9,676.0,596.0,474.0
HPSI0115i-sehp_2,HPSI0115i,pool7,285.0,1536.0,1261.0
HPSI0115i-tiku_3,HPSI0115i,pool9,125.0,211.0,206.0
HPSI0115i-uupc_2,HPSI0115i,pool7,69.0,186.0,144.0
HPSI0115i-zihe_1,HPSI0115i,pool6,811.0,169.0,189.0
HPSI0214i-datg_2,HPSI0214i,pool9,4200.0,2845.0,1912.0
HPSI0214i-eiwy_1,HPSI0214i,pool1,1434.0,241.0,830.0
HPSI0214i-feec_2,HPSI0214i,pool4,870.0,702.0,1770.0
HPSI0214i-feec_2,HPSI0214i,pool5,321.0,192.0,274.0
HPSI0214i-giju_3,HPSI0214i,pool4,1057.0,1735.0,2649.0
HPSI0214i-heth_1,HPSI0214i,pool6,1253.0,596.0,797.0
