celltype,n_lines,mean_phat,observed_std,rms_se,median_se,variance_ratio
NB,138.0,0.038264638947451156,0.05726757368774992,0.007551758013249082,0.0028328583156598695,57.5070959164618
P_FPP,138.0,0.43442022366216926,0.09795595877036668,0.0250155226934361,0.01503971121620598,15.33354442955088
FPP,138.0,0.5273151373903795,0.09425996425822322,0.025150570710461874,0.015131386340815803,14.046200153865902
