scheme,pool_correction,model,repeat,fold,selected_k,selected_param,label_variant
plain,False,ridge,0,0,0,alpha=1.0,da_untreated
plain,False,lasso,0,0,6,alpha=0.01,da_untreated
plain,False,ridge,0,1,2,alpha=0.01,da_untreated
plain,False,lasso,0,1,1,alpha=0.01,da_untreated
plain,False,ridge,0,2,6,alpha=10.0,da_untreated
plain,False,lasso,0,2,6,alpha=0.01,da_untreated
plain,False,ridge,0,3,6,alpha=10.0,da_untreated
plain,False,lasso,0,3,4,alpha=0.01,da_untreated
plain,False,ridge,0,4,0,alpha=10.0,da_untreated
plain,False,lasso,0,4,0,alpha=0.01,da_untreated
plain,False,ridge,1,0,0,alpha=1.0,da_untreated
plain,False,lasso,1,0,0,alpha=0.01,da_untreated
plain,False,ridge,1,1,1,alpha=0.01,da_untreated
plain,False,lasso,1,1,0,alpha=0.01,da_untreated
plain,False,ridge,1,2,4,alpha=10.0,da_untreated
plain,False,lasso,1,2,0,alpha=0.01,da_untreated
plain,False,ridge,1,3,0,alpha=10.0,da_untreated
plain,False,lasso,1,3,0,alpha=0.01,da_untreated
plain,False,ridge,1,4,1,alpha=0.1,da_untreated
plain,False,lasso,1,4,10,alpha=0.01,da_untreated
plain,False,ridge,2,0,2,alpha=1.0,da_untreated
plain,False,lasso,2,0,6,alpha=0.01,da_untreated
plain,False,ridge,2,1,6,alpha=10.0,da_untreated
plain,False,lasso,2,1,10,alpha=0.01,da_untreated
plain,False,ridge,2,2,0,alpha=10.0,da_untreated
plain,False,lasso,2,2,0,alpha=0.01,da_untreated
plain,False,ridge,2,3,0,alpha=1.0,da_untreated
plain,False,lasso,2,3,0,alpha=0.001,da_untreated
plain,False,ridge,2,4,4,alpha=10.0,da_untreated
plain,False,lasso,2,4,0,alpha=0.01,da_untreated
plain,False,ridge,3,0,0,alpha=0.1,da_untreated
plain,False,lasso,3,0,0,alpha=0.001,da_untreated
plain,False,ridge,3,1,0,alpha=10.0,da_untreated
plain,False,lasso,3,1,3,alpha=0.01,da_untreated
plain,False,ridge,3,2,6,alpha=10.0,da_untreated
plain,False,lasso,3,2,6,alpha=0.01,da_untreated
plain,False,ridge,3,3,4,alpha=10.0,da_untreated
plain,False,lasso,3,3,9,alpha=0.01,da_untreated
plain,False,ridge,3,4,0,alpha=10.0,da_untreated
plain,False,lasso,3,4,0,alpha=0.01,da_untreated
plain,False,ridge,4,0,5,alpha=10.0,da_untreated
plain,False,lasso,4,0,5,alpha=0.01,da_untreated
plain,False,ridge,4,1,6,alpha=10.0,da_untreated
plain,False,lasso,4,1,6,alpha=0.01,da_untreated
plain,False,ridge,4,2,0,alpha=10.0,da_untreated
plain,False,lasso,4,2,10,alpha=0.01,da_untreated
plain,False,ridge,4,3,4,alpha=10.0,da_untreated
plain,False,lasso,4,3,10,alpha=0.01,da_untreated
plain,False,ridge,4,4,4,alpha=10.0,da_untreated
plain,False,lasso,4,4,4,alpha=0.01,da_untreated
plain,False,ridge,5,0,0,alpha=0.01,da_untreated
plain,False,lasso,5,0,0,alpha=0.01,da_untreated
plain,False,ridge,5,1,0,alpha=10.0,da_untreated
plain,False,lasso,5,1,0,alpha=0.01,da_untreated
plain,False,ridge,5,2,0,alpha=10.0,da_untreated
plain,False,lasso,5,2,4,alpha=0.01,da_untreated
plain,False,ridge,5,3,0,alpha=0.01,da_untreated
plain,False,lasso,5,3,0,alpha=0.001,da_untreated
plain,False,ridge,5,4,1,alpha=1.0,da_untreated
plain,False,lasso,5,4,6,alpha=0.01,da_untreated
plain,False,ridge,6,0,1,alpha=0.1,da_untreated
plain,False,lasso,6,0,2,alpha=0.001,da_untreated
plain,False,ridge,6,1,6,alpha=10.0,da_untreated
plain,False,lasso,6,1,6,alpha=0.01,da_untreated
plain,False,ridge,6,2,0,alpha=10.0,da_untreated
plain,False,lasso,6,2,9,alpha=0.01,da_untreated
plain,False,ridge,6,3,0,alpha=10.0,da_untreated
plain,False,lasso,6,3,3,alpha=0.01,da_untreated
plain,False,ridge,6,4,4,alpha=10.0,da_untreated
plain,False,lasso,6,4,0,alpha=0.01,da_untreated
plain,False,ridge,7,0,0,alpha=10.0,da_untreated
plain,False,lasso,7,0,0,alpha=0.01,da_untreated
plain,False,ridge,7,1,0,alpha=10.0,da_untreated
plain,False,lasso,7,1,10,alpha=0.01,da_untreated
plain,False,ridge,7,2,4,alpha=10.0,da_untreated
plain,False,lasso,7,2,10,alpha=0.01,da_untreated
plain,False,ridge,7,3,6,alpha=10.0,da_untreated
plain,False,lasso,7,3,4,alpha=0.01,da_untreated
plain,False,ridge,7,4,0,alpha=1.0,da_untreated
plain,False,lasso,7,4,0,alpha=0.01,da_untreated
plain,False,ridge,8,0,0,alpha=10.0,da_untreated
plain,False,lasso,8,0,0,alpha=0.01,da_untreated
plain,False,ridge,8,1,4,alpha=10.0,da_untreated
plain,False,lasso,8,1,4,alpha=0.01,da_untreated
plain,False,ridge,8,2,6,alpha=1.0,da_untreated
plain,False,lasso,8,2,3,alpha=0.01,da_untreated
plain,False,ridge,8,3,0,alpha=10.0,da_untreated
plain,False,lasso,8,3,0,alpha=0.01,da_untreated
plain,False,ridge,8,4,2,alpha=0.1,da_untreated
plain,False,lasso,8,4,1,alpha=0.001,da_untreated
plain,False,ridge,9,0,0,alpha=10.0,da_untreated
plain,False,lasso,9,0,0,alpha=0.01,da_untreated
plain,False,ridge,9,1,0,alpha=1.0,da_untreated
plain,False,lasso,9,1,4,alpha=0.01,da_untreated
plain,False,ridge,9,2,0,alpha=10.0,da_untreated
plain,False,lasso,9,2,10,alpha=0.01,da_untreated
plain,False,ridge,9,3,6,alpha=1.0,da_untreated
plain,False,lasso,9,3,1,alpha=0.01,da_untreated
plain,False,ridge,9,4,0,alpha=10.0,da_untreated
plain,False,lasso,9,4,6,alpha=0.01,da_untreated
donor_grouped,False,ridge,0,0,4,alpha=1.0,da_untreated
donor_grouped,False,lasso,0,0,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,0,1,1,alpha=0.1,da_untreated
donor_grouped,False,lasso,0,1,1,alpha=0.001,da_untreated
donor_grouped,False,ridge,0,2,1,alpha=0.1,da_untreated
donor_grouped,False,lasso,0,2,4,alpha=0.001,da_untreated
donor_grouped,False,ridge,0,3,4,alpha=10.0,da_untreated
donor_grouped,False,lasso,0,3,6,alpha=0.01,da_untreated
donor_grouped,False,ridge,0,4,0,alpha=10.0,da_untreated
donor_grouped,False,lasso,0,4,7,alpha=0.01,da_untreated
donor_grouped,False,ridge,1,0,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,1,0,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,1,1,0,alpha=1.0,da_untreated
donor_grouped,False,lasso,1,1,0,alpha=0.001,da_untreated
donor_grouped,False,ridge,1,2,2,alpha=0.1,da_untreated
donor_grouped,False,lasso,1,2,6,alpha=0.01,da_untreated
donor_grouped,False,ridge,1,3,1,alpha=0.1,da_untreated
donor_grouped,False,lasso,1,3,7,alpha=0.001,da_untreated
donor_grouped,False,ridge,1,4,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,1,4,10,alpha=0.01,da_untreated
donor_grouped,False,ridge,2,0,0,alpha=10.0,da_untreated
donor_grouped,False,lasso,2,0,1,alpha=0.01,da_untreated
donor_grouped,False,ridge,2,1,0,alpha=10.0,da_untreated
donor_grouped,False,lasso,2,1,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,2,2,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,2,2,9,alpha=0.01,da_untreated
donor_grouped,False,ridge,2,3,1,alpha=1.0,da_untreated
donor_grouped,False,lasso,2,3,6,alpha=0.01,da_untreated
donor_grouped,False,ridge,2,4,1,alpha=0.01,da_untreated
donor_grouped,False,lasso,2,4,10,alpha=0.01,da_untreated
donor_grouped,False,ridge,3,0,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,3,0,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,3,1,1,alpha=0.1,da_untreated
donor_grouped,False,lasso,3,1,10,alpha=0.01,da_untreated
donor_grouped,False,ridge,3,2,1,alpha=0.1,da_untreated
donor_grouped,False,lasso,3,2,6,alpha=0.01,da_untreated
donor_grouped,False,ridge,3,3,1,alpha=0.1,da_untreated
donor_grouped,False,lasso,3,3,7,alpha=0.001,da_untreated
donor_grouped,False,ridge,3,4,0,alpha=10.0,da_untreated
donor_grouped,False,lasso,3,4,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,4,0,0,alpha=10.0,da_untreated
donor_grouped,False,lasso,4,0,4,alpha=0.01,da_untreated
donor_grouped,False,ridge,4,1,4,alpha=10.0,da_untreated
donor_grouped,False,lasso,4,1,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,4,2,0,alpha=1.0,da_untreated
donor_grouped,False,lasso,4,2,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,4,3,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,4,3,9,alpha=0.01,da_untreated
donor_grouped,False,ridge,4,4,1,alpha=0.01,da_untreated
donor_grouped,False,lasso,4,4,10,alpha=0.01,da_untreated
donor_grouped,False,ridge,5,0,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,5,0,10,alpha=0.01,da_untreated
donor_grouped,False,ridge,5,1,0,alpha=1.0,da_untreated
donor_grouped,False,lasso,5,1,0,alpha=0.001,da_untreated
donor_grouped,False,ridge,5,2,0,alpha=10.0,da_untreated
donor_grouped,False,lasso,5,2,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,5,3,1,alpha=0.01,da_untreated
donor_grouped,False,lasso,5,3,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,5,4,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,5,4,8,alpha=0.01,da_untreated
donor_grouped,False,ridge,6,0,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,6,0,10,alpha=0.01,da_untreated
donor_grouped,False,ridge,6,1,10,alpha=10.0,da_untreated
donor_grouped,False,lasso,6,1,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,6,2,0,alpha=10.0,da_untreated
donor_grouped,False,lasso,6,2,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,6,3,7,alpha=1.0,da_untreated
donor_grouped,False,lasso,6,3,7,alpha=0.001,da_untreated
donor_grouped,False,ridge,6,4,1,alpha=0.1,da_untreated
donor_grouped,False,lasso,6,4,6,alpha=0.01,da_untreated
donor_grouped,False,ridge,7,0,6,alpha=10.0,da_untreated
donor_grouped,False,lasso,7,0,10,alpha=0.01,da_untreated
donor_grouped,False,ridge,7,1,10,alpha=10.0,da_untreated
donor_grouped,False,lasso,7,1,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,7,2,0,alpha=1.0,da_untreated
donor_grouped,False,lasso,7,2,0,alpha=0.01,da_untreated
donor_grouped,False,ridge,7,3,7,alpha=1.0,da_untreated
