model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution,fold_features,label_variant
lasso,0,alpha=0.001,0.0567247512267144,0.0014862243964005,0.0785853102504525,0.0020596004610541,0.8293487378216854,0.0091784418259296,0.025735294117647,0.0148076543794051,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=0.01,0.0560210043880691,0.0005010225319149,0.0787392203061528,0.0005979080372659,0.8287765978656255,0.0025989115899644,0.0014705882352941,0.0031002722158513,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=0.1,0.103442482614989,0.0005158633380849,0.1275530573775656,0.0007919623141191,0.5506805918217638,0.0056044014087948,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=1.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=10.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.001,0.05696015732104,0.0014976306006065,0.0793214895702282,0.0019470394591096,0.8261496676408415,0.008633374177508,0.0294117647058823,0.0134245724878717,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.01,0.0560210043880691,0.0005010225319149,0.0787392203061528,0.0005979080372659,0.8287765978656255,0.0025989115899644,0.0014705882352941,0.0031002722158513,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.1,0.103442482614989,0.0005158633380849,0.1275530573775656,0.0007919623141191,0.5506805918217638,0.0056044014087948,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=1.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=10.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.001,0.0571390479132479,0.0016992380130995,0.0795825639717336,0.0023408779424835,0.8249620301196494,0.0105014571794279,0.0294117647058823,0.0134245724878717,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.01,0.0560203197167029,0.0005006667939127,0.0787393772146583,0.0005981162670034,0.8287759092955687,0.0025998273732493,0.0014705882352941,0.0031002722158513,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.1,0.103442482614989,0.0005158633380849,0.1275530573775656,0.0007919623141191,0.5506805918217638,0.0056044014087948,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=1.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=10.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,3,alpha=0.001,0.0575563769393078,0.0017617225229005,0.0796432249282704,0.002468057253761,0.8246800936979641,0.0110949850718642,0.0419117647058823,0.0120322918712093,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
lasso,3,alpha=0.01,0.0560194282147378,0.0004983309969568,0.0787435425126874,0.0006013342665812,0.8287576983804452,0.0026139453448646,0.0014705882352941,0.0031002722158513,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
