model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution,fold_features,label_variant
lasso,0,alpha=0.001,0.1300840138880045,0.0011821640714228,0.1643436085143732,0.0012274753973899,0.2540910710384422,0.0112174895545027,0.0426470588235294,0.0075940849925635,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=0.01,0.1301035184362176,0.0011054982558737,0.1650766148910215,0.0013038623127231,0.2474179460785699,0.0119388447556611,0.0220588235294117,0.0077506805396283,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=0.1,0.1581291659499048,0.0001794559154929,0.1908570414024257,0.0003382823090781,-0.0059490091457074,0.0035670474617366,0.0,0.0,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=1.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=10.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.001,0.1225420052140294,0.0005728270691487,0.1588492529282834,0.0006491438807408,0.3031565128085017,0.0056964136968882,0.0426470588235294,0.0083477384146698,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.01,0.1238098668251637,0.0005572581176542,0.1596725399121718,0.0007115981420826,0.2959125632545906,0.0062768759103692,0.0213235294117647,0.0073119773971452,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.1,0.1576412218000465,0.0003389049528459,0.1905112714583057,0.0004525882069704,-0.0023096730245456,0.0047634599046646,0.0,0.0,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=1.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=10.0,0.1581543285450711,0.0001747281207577,0.1908781385336844,0.0003691653167042,-0.0061719568614739,0.0038935034982812,0.0,0.0,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.001,0.1100721562104137,0.0038295198815519,0.1442837532707544,0.0050542807738464,0.4244638633950715,0.0403646277708683,0.0514705882352941,0.0158841683784506,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.01,0.1123389214818156,0.0038109818903346,0.1464738978876732,0.0043821066283899,0.4070357041195751,0.035549084217949,0.0301470588235294,0.0106554240780804,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.1,0.1490619049297685,0.0030368982357059,0.1813965613036035,0.0030091776086951,0.0910834428985052,0.0299613475465614,0.0,0.0,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
