model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
logistic_l1,0,C=0.01,0.4973214285714286,0.007960412358037551,0.6949227162350307,0.0046820897247119965,0.5006696428571429,0.009135943346864251,0.5822916666666667,0.17308601145416436,0.41904761904761906,0.1800030793947281,0.6229104837447631,0.09217342351296166,0.24926526750561157,0.0022576839506149417,plain,False,flat,,
logistic_l1,0,C=0.1,0.9513144841269842,0.0057610551481081015,0.9667565196340657,0.008301890101691196,0.893452380952381,0.005019488349473653,0.9583333333333334,0.0,0.8285714285714286,0.010038976698947249,0.9426268969126111,0.0020298590248420583,0.0903317480000902,0.0007033036985473123,plain,False,flat,,
logistic_l1,0,C=1.0,0.9472966269841269,0.004984028974767644,0.9617953009174325,0.005874573730864054,0.8919642857142858,0.00729689505890212,0.9291666666666668,0.004392052305789391,0.8547619047619047,0.013515386004703497,0.932569463580417,0.0037869667458651714,0.06869191446892335,0.0016902923936404524,plain,False,flat,,
logistic_l1,0,C=10.0,0.9457093253968253,0.0062650400104228635,0.9607940083091421,0.007718799133156021,0.9017857142857142,0.0069089227565397714,0.925,0.004392052305789436,0.8785714285714284,0.013515386004703506,0.9352317676098332,0.003496668992616886,0.06947060038290592,0.002204426276534789,plain,False,flat,,
logistic_l1,0,C=100.0,0.9455357142857143,0.006552710996372142,0.9607762305270742,0.00799006492093795,0.9024553571428571,0.007452453983321197,0.9239583333333334,0.005031728036871362,0.880952380952381,0.01587301587301589,0.9351645783601132,0.0034686307640513976,0.06964168461239681,0.0022743758683094165,plain,False,flat,,
logistic_l1,1,C=0.01,0.4973214285714286,0.008770867439384766,0.6948068610834075,0.005190758393679993,0.5014880952380952,0.008120389654635386,0.5625,0.18267981163841535,0.4404761904761905,0.18756035393803927,0.6095544587345889,0.09932477060494603,0.250245355428675,0.0025492211804266493,plain,False,flat,,
logistic_l1,1,C=0.1,0.9502480158730158,0.0028595416333862807,0.9626153393001993,0.003695235265113579,0.9033482142857142,0.006229593955040004,0.9614583333333334,0.0050317280368713255,0.8452380952380952,0.012548720873684001,0.9476389001278545,0.003231217701847642,0.09033249420666013,0.0010323662734311068,plain,False,flat,,
logistic_l1,1,C=1.0,0.9447420634920635,0.005753635656020207,0.9590966651963452,0.007283097652352752,0.9087053571428572,0.004560390811306767,0.9364583333333334,0.009120781622613634,0.880952380952381,0.0,0.9418343551942684,0.004849539256633123,0.06948494542274723,0.0022628400443901035,plain,False,flat,,
logistic_l1,1,C=10.0,0.9401041666666666,0.006555891455991876,0.9533042616094398,0.008212989841873712,0.90625,0.005154913117764518,0.9291666666666666,0.01075828707279838,0.8833333333333334,0.0075292325242104375,0.9384272188546012,0.005314621412793234,0.06927864977147358,0.002966182881631176,plain,False,flat,,
logistic_l1,1,C=100.0,0.9392609126984126,0.007320507322323253,0.9524711598787834,0.007994370886559209,0.9057291666666666,0.005083417940698292,0.928125,0.010358634645955773,0.8833333333333334,0.0075292325242104375,0.9378705916845819,0.005139946324825254,0.06946158899087147,0.0031770325313798834,plain,False,flat,,
