feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.2008,0.0463,False,1.0,0.0013,individual,0.0573,grouped (all proportions permuted together),0.0336,0.755,High (pool-associated)
phat_NB,-0.7331,-0.3135,False,1.0,0.0082,individual,0.0573,grouped (all proportions permuted together),0.2431,0.037,Low
phat_P_FPP,0.4096,reference (=1-FPP-NB),,,0.0107,grouped (FPP+NB dropped together),0.0573,grouped (all proportions permuted together),,0.651,High (pool-associated)
PC1,0.5835,0.2091,False,1.0,-0.0017,individual,0.0144,individual,0.1575,0.49,Moderate
PC2,0.593,0.2292,False,1.0,0.0139,individual,0.0288,individual,0.1817,0.764,High (pool-associated)
PC3,-0.37,-0.1282,False,1.0,0.0031,individual,0.0179,individual,0.0968,0.498,Moderate
PC4,0.4768,0.176,False,1.0,0.003,individual,0.0143,individual,0.139,0.448,Moderate
