feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_DA,0.9321,0.1126,False,1.0,0.0082,individual,0.1434,grouped (all proportions permuted together),0.0984,0.315,Moderate
phat_Epen1,-0.6934,-0.0288,False,1.0,0.0015,individual,0.1434,grouped (all proportions permuted together),0.0231,0.133,Low
phat_FPP,-0.708,-0.0375,False,1.0,0.0008,individual,0.1434,grouped (all proportions permuted together),0.0308,0.211,Moderate
phat_P_FPP,-0.4942,reference (=1-FPP-NB),,,0.1015,grouped (FPP+NB dropped together),0.1434,grouped (all proportions permuted together),,0.14,Low
phat_Sert,0.3167,-0.0563,False,1.0,0.0014,individual,0.1434,grouped (all proportions permuted together),0.0479,0.057,Low
phat_U_Neur1,-0.5422,-0.027,False,1.0,0.0015,individual,0.1434,grouped (all proportions permuted together),0.0202,0.11,Low
phat_U_Neur2,-0.3211,-0.0007,False,1.0,-0.0008,individual,0.1434,grouped (all proportions permuted together),0.0003,0.083,Low
