scheme,pool_correction,model,repeat,fold,selected_k,selected_param
loco,False,logistic_l2,0,8,10,C=100.0
loco,False,logistic_l1,0,8,2,C=0.1
loco,False,logistic_l2,0,9,10,C=100.0
loco,False,logistic_l1,0,9,10,C=100.0
loco,False,logistic_l2,0,10,10,C=100.0
loco,False,logistic_l1,0,10,2,C=0.1
loco,False,logistic_l2,0,11,10,C=100.0
loco,False,logistic_l1,0,11,2,C=0.1
loco,False,logistic_l2,0,12,10,C=100.0
loco,False,logistic_l1,0,12,2,C=0.1
loco,False,logistic_l2,0,13,5,C=0.1
loco,False,logistic_l1,0,13,2,C=0.1
loco,False,logistic_l2,0,14,10,C=100.0
loco,False,logistic_l1,0,14,10,C=100.0
loco,False,logistic_l2,0,15,3,C=100.0
loco,False,logistic_l1,0,15,2,C=0.1
loco,False,logistic_l2,0,16,2,C=100.0
loco,False,logistic_l1,0,16,2,C=0.1
loco,False,logistic_l2,0,17,2,C=100.0
loco,False,logistic_l1,0,17,2,C=0.1
loco,False,logistic_l2,0,18,2,C=100.0
loco,False,logistic_l1,0,18,2,C=0.1
loco,False,logistic_l2,0,19,2,C=100.0
loco,False,logistic_l1,0,19,2,C=100.0
loco,False,logistic_l2,0,20,2,C=100.0
loco,False,logistic_l1,0,20,2,C=0.1
loco,False,logistic_l2,0,21,2,C=100.0
loco,False,logistic_l1,0,21,2,C=0.1
loco,False,logistic_l2,0,22,2,C=100.0
loco,False,logistic_l1,0,22,2,C=100.0
loco,False,logistic_l2,0,23,2,C=100.0
loco,False,logistic_l1,0,23,2,C=0.1
loco,False,logistic_l2,0,24,2,C=100.0
loco,False,logistic_l1,0,24,2,C=100.0
loco,False,logistic_l2,0,25,2,C=100.0
loco,False,logistic_l1,0,25,2,C=0.1
loco,False,logistic_l2,0,26,2,C=100.0
loco,False,logistic_l1,0,26,2,C=0.1
loco,False,logistic_l2,0,27,2,C=100.0
loco,False,logistic_l1,0,27,2,C=0.1
loco,False,logistic_l2,0,28,2,C=100.0
loco,False,logistic_l1,0,28,2,C=0.1
loco,False,logistic_l2,0,29,2,C=100.0
loco,False,logistic_l1,0,29,2,C=0.1
loco,False,logistic_l2,0,30,10,C=100.0
loco,False,logistic_l1,0,30,2,C=0.1
loco,False,logistic_l2,0,31,2,C=100.0
loco,False,logistic_l1,0,31,2,C=100.0
loco,False,logistic_l2,0,32,2,C=100.0
loco,False,logistic_l1,0,32,2,C=100.0
loco,False,logistic_l2,0,33,2,C=100.0
loco,False,logistic_l1,0,33,2,C=0.1
loco,False,logistic_l2,0,34,2,C=100.0
loco,False,logistic_l1,0,34,2,C=100.0
loco,False,logistic_l2,0,35,2,C=100.0
