scheme,pool_correction,model,repeat,fold,selected_k,selected_param,label_variant
plain,False,logistic_l2,0,0,10,C=0.1,da_untreated
plain,False,logistic_l1,0,0,8,C=1.0,da_untreated
plain,False,logistic_l2,0,1,6,C=1.0,da_untreated
plain,False,logistic_l1,0,1,0,C=0.1,da_untreated
plain,False,logistic_l2,0,2,10,C=1.0,da_untreated
plain,False,logistic_l1,0,2,8,C=1.0,da_untreated
plain,False,logistic_l2,0,3,9,C=10.0,da_untreated
plain,False,logistic_l1,0,3,0,C=0.1,da_untreated
plain,False,logistic_l2,0,4,0,C=1.0,da_untreated
plain,False,logistic_l1,0,4,0,C=0.1,da_untreated
plain,False,logistic_l2,1,0,1,C=1.0,da_untreated
plain,False,logistic_l1,1,0,0,C=0.1,da_untreated
plain,False,logistic_l2,1,1,8,C=0.1,da_untreated
plain,False,logistic_l1,1,1,8,C=1.0,da_untreated
plain,False,logistic_l2,1,2,10,C=1.0,da_untreated
plain,False,logistic_l1,1,2,10,C=1.0,da_untreated
plain,False,logistic_l2,1,3,9,C=100.0,da_untreated
plain,False,logistic_l1,1,3,9,C=100.0,da_untreated
plain,False,logistic_l2,1,4,9,C=1.0,da_untreated
plain,False,logistic_l1,1,4,9,C=1.0,da_untreated
plain,False,logistic_l2,2,0,9,C=0.1,da_untreated
plain,False,logistic_l1,2,0,0,C=0.1,da_untreated
plain,False,logistic_l2,2,1,8,C=100.0,da_untreated
plain,False,logistic_l1,2,1,10,C=10.0,da_untreated
plain,False,logistic_l2,2,2,6,C=0.1,da_untreated
plain,False,logistic_l1,2,2,0,C=0.1,da_untreated
plain,False,logistic_l2,2,3,0,C=1.0,da_untreated
plain,False,logistic_l1,2,3,0,C=0.1,da_untreated
plain,False,logistic_l2,2,4,1,C=1.0,da_untreated
plain,False,logistic_l1,2,4,0,C=0.1,da_untreated
plain,False,logistic_l2,3,0,1,C=0.1,da_untreated
plain,False,logistic_l1,3,0,0,C=0.1,da_untreated
plain,False,logistic_l2,3,1,9,C=0.1,da_untreated
plain,False,logistic_l1,3,1,10,C=1.0,da_untreated
plain,False,logistic_l2,3,2,8,C=1.0,da_untreated
plain,False,logistic_l1,3,2,9,C=1.0,da_untreated
plain,False,logistic_l2,3,3,9,C=1.0,da_untreated
plain,False,logistic_l1,3,3,9,C=1.0,da_untreated
plain,False,logistic_l2,3,4,7,C=1.0,da_untreated
plain,False,logistic_l1,3,4,0,C=0.1,da_untreated
plain,False,logistic_l2,4,0,5,C=0.1,da_untreated
plain,False,logistic_l1,4,0,5,C=1.0,da_untreated
plain,False,logistic_l2,4,1,6,C=0.1,da_untreated
plain,False,logistic_l1,4,1,6,C=1.0,da_untreated
plain,False,logistic_l2,4,2,5,C=0.1,da_untreated
plain,False,logistic_l1,4,2,0,C=0.1,da_untreated
plain,False,logistic_l2,4,3,8,C=1.0,da_untreated
plain,False,logistic_l1,4,3,10,C=1.0,da_untreated
plain,False,logistic_l2,4,4,8,C=10.0,da_untreated
plain,False,logistic_l1,4,4,8,C=10.0,da_untreated
plain,False,logistic_l2,5,0,10,C=0.1,da_untreated
plain,False,logistic_l1,5,0,0,C=0.1,da_untreated
plain,False,logistic_l2,5,1,9,C=0.1,da_untreated
plain,False,logistic_l1,5,1,0,C=0.1,da_untreated
plain,False,logistic_l2,5,2,5,C=1.0,da_untreated
plain,False,logistic_l1,5,2,5,C=1.0,da_untreated
plain,False,logistic_l2,5,3,7,C=1.0,da_untreated
plain,False,logistic_l1,5,3,8,C=1.0,da_untreated
plain,False,logistic_l2,5,4,9,C=1.0,da_untreated
plain,False,logistic_l1,5,4,10,C=1.0,da_untreated
plain,False,logistic_l2,6,0,10,C=1.0,da_untreated
plain,False,logistic_l1,6,0,8,C=1.0,da_untreated
plain,False,logistic_l2,6,1,8,C=1.0,da_untreated
plain,False,logistic_l1,6,1,8,C=1.0,da_untreated
plain,False,logistic_l2,6,2,10,C=0.1,da_untreated
plain,False,logistic_l1,6,2,9,C=1.0,da_untreated
plain,False,logistic_l2,6,3,10,C=0.1,da_untreated
plain,False,logistic_l1,6,3,8,C=1.0,da_untreated
plain,False,logistic_l2,6,4,8,C=1.0,da_untreated
plain,False,logistic_l1,6,4,4,C=100.0,da_untreated
plain,False,logistic_l2,7,0,0,C=100.0,da_untreated
plain,False,logistic_l1,7,0,5,C=0.1,da_untreated
plain,False,logistic_l2,7,1,10,C=1.0,da_untreated
plain,False,logistic_l1,7,1,0,C=0.1,da_untreated
plain,False,logistic_l2,7,2,8,C=1.0,da_untreated
plain,False,logistic_l1,7,2,8,C=1.0,da_untreated
