model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution,fold_features,label_variant
logistic_l1,0,C=0.01,0.4960655737704917,0.0043165940236353,0.446605220187444,0.0026472751083849,0.4970491803278689,0.0029729990183028,0.5540983606557377,0.2454519263585537,0.44,0.2458545188611436,0.4683357512219253,0.1192492722701168,0.2517530260435351,0.0014756310251642,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=0.1,0.7923606557377049,0.0151792791733525,0.681656439687011,0.0344348089464531,0.7614098360655738,0.0058373002384727,0.9508196721311476,0.0,0.5720000000000001,0.0116746004769455,0.7677266019222839,0.0044282810060476,0.1909541382681822,0.0008196659599912,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=1.0,0.7927868852459017,0.0073099786731855,0.7358005005390014,0.011789585537003,0.7700327868852459,0.010590233485554,0.936065573770492,0.014354016979851,0.604,0.0126491106406735,0.7726589311024883,0.0097496542932291,0.1729189017501904,0.0023605517560794,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=10.0,0.7926775956284153,0.0067882842200085,0.7372737778655896,0.0080413965208987,0.7672677595628415,0.0103416252996346,0.9278688524590164,0.0158375702144146,0.6066666666666667,0.0113311544746506,0.7695220414711608,0.0097604134056292,0.1726342327294223,0.002493820870215,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=100.0,0.7926775956284152,0.006952858529491,0.73737346380343,0.0080608785319279,0.766448087431694,0.0100808770552357,0.9262295081967212,0.0159315625542221,0.6066666666666667,0.0113311544746506,0.7686833498301209,0.0095466859886605,0.172646662921883,0.002512005319639,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=0.01,0.4970491803278689,0.0042186358613374,0.4469451004253111,0.0025787211881403,0.4972131147540984,0.0026826093352204,0.5344262295081967,0.212932526827673,0.4599999999999999,0.211869981094276,0.4677365510909525,0.0971628107333174,0.2514872041687112,0.0014739510631058,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=0.1,0.8042185792349728,0.0071157156104133,0.7486068822628595,0.0122959455197974,0.7439016393442623,0.013548783351044,0.8918032786885245,0.0192424227996273,0.596,0.0126491106406734,0.7467049326422429,0.0129576887308684,0.1821657347895336,0.0015651648961847,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=1.0,0.8095956284153004,0.0085326507435994,0.7359227245716377,0.0126387847459334,0.7601092896174864,0.0156627270139932,0.8868852459016393,0.023756355321622,0.6333333333333333,0.0157134840263677,0.758705952592548,0.0152641912505292,0.1679416069991748,0.0033728538646349,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=10.0,0.813398907103825,0.0076970036044023,0.7237516332173481,0.0135717346466131,0.7697486338797814,0.0150419468497037,0.8901639344262294,0.0190082263725968,0.6493333333333333,0.0126491106406734,0.7669242155307483,0.0145316129997836,0.165968791828047,0.0033658457442807,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=100.0,0.8141420765027322,0.0077382743282336,0.7223594089859506,0.0144825582537173,0.7713879781420765,0.0140468977847231,0.8934426229508198,0.0177069417989286,0.6493333333333333,0.0126491106406734,0.7686699874892863,0.0135228003031612,0.1658491035136595,0.0034019646469299,plain,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
