model,repeat,roc_auc,log_loss,brier,accuracy
da_only,0,0.9575956284153007,0.5708010861279605,0.1897118805155034,0.8676470588235294
da_only,1,0.9556284153005463,0.570686869360714,0.18967803963709678,0.8676470588235294
da_only,2,0.9573770491803277,0.5705623504340337,0.1895935694622342,0.8676470588235294
da_only,3,0.9543169398907104,0.5715843515719756,0.19009420825205992,0.8676470588235294
da_only,4,0.9556284153005464,0.5701483498563421,0.18941185590567805,0.8676470588235294
da_only,5,0.9567213114754098,0.5705430416677586,0.1895925682919274,0.8676470588235294
da_only,6,0.9571584699453553,0.5705939878261951,0.18962028374787496,0.8676470588235294
da_only,7,0.9578142076502731,0.5702670772046058,0.1894535782813763,0.8676470588235294
da_only,8,0.9584699453551913,0.5703478158210707,0.1894764359505064,0.8676470588235294
da_only,9,0.952568306010929,0.5711168583070619,0.18989662129699192,0.8676470588235294
full,0,0.9440437158469945,0.3302495091525765,0.08532568986288369,0.875
full,1,0.9462295081967214,0.313337814599083,0.09453842978387518,0.8823529411764706
full,2,0.940327868852459,0.31048428802400885,0.09389303317542477,0.8676470588235294
full,3,0.9346448087431694,0.3451942770300524,0.09417011999896875,0.8970588235294118
full,4,0.9202185792349726,0.3998948157198405,0.10438855521874395,0.8529411764705882
full,5,0.9499453551912569,0.29076526527474195,0.08642344082231561,0.8823529411764706
full,6,0.9398907103825137,0.31325458993225275,0.09138180161748985,0.8823529411764706
full,7,0.9390163934426229,0.3155800438081755,0.09262151992325068,0.8676470588235294
full,8,0.9405464480874317,0.35045313495462277,0.09369235323037893,0.875
full,9,0.9385792349726776,0.30697550400704793,0.09406372968153712,0.8676470588235294
