model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution,fold_features,label_variant
logistic_l1,0,C=0.01,0.499344262295082,0.0040304019485433,0.4479312579092014,0.0025408862439615,0.499672131147541,0.003071796573236,0.3393442622950819,0.1922767496933334,0.6599999999999999,0.1897366596101027,0.3536355248948952,0.1551247494951891,0.2498974967905375,0.0010005869524153,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=0.1,0.9558688524590164,0.0015264073103128,0.9426021622585958,0.0022927524362299,0.8726338797814208,0.0064406118871953,0.8639344262295081,0.0134962721696486,0.8813333333333333,0.0042163702135578,0.8596641535334679,0.0072783077972653,0.0923268876918494,0.0004501511232695,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=1.0,0.9495300546448088,0.0043428930951113,0.934975964623112,0.0043759957528157,0.888360655737705,0.0072544399541323,0.8967213114754099,0.0110647304542713,0.8800000000000001,0.006285393610547,0.877288888888889,0.0078642678001859,0.0858412031952684,0.0033837205684158,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=10.0,0.9480655737704918,0.0057951672014954,0.9274607570909827,0.007681557902769,0.8875409836065573,0.0107045571062794,0.8950819672131148,0.0192424227996273,0.8800000000000001,0.006285393610547,0.876328514207164,0.0116358193134184,0.084873526159859,0.0050885137077864,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,0,C=100.0,0.9460765027322404,0.00648905921451,0.923529312927795,0.0092810605437135,0.8873879781420765,0.0087610927398468,0.8934426229508198,0.0177069417989285,0.8813333333333333,0.0042163702135578,0.8761339277908908,0.0096542394496555,0.0859985684809416,0.0055283067222402,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=0.01,0.499344262295082,0.0040304019485433,0.4479312579092014,0.0025408862439615,0.499672131147541,0.003071796573236,0.3393442622950819,0.1922767496933334,0.6599999999999999,0.1897366596101027,0.3536355248948952,0.1551247494951891,0.2498955978596321,0.0010000980931057,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=0.1,0.9558688524590164,0.0015264073103128,0.9426021622585958,0.0022927524362299,0.8726338797814208,0.0064406118871953,0.8639344262295081,0.0134962721696486,0.8813333333333333,0.0042163702135578,0.8596641535334679,0.0072783077972653,0.0923267276700472,0.0004499714647458,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=1.0,0.9494426229508196,0.004342404126934,0.9348238956403352,0.0043271849714044,0.888360655737705,0.0072544399541323,0.8967213114754099,0.0110647304542713,0.8800000000000001,0.006285393610547,0.877288888888889,0.0078642678001859,0.0859513336117626,0.0034960370369879,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=10.0,0.9462295081967212,0.0065977305195901,0.9198636042736612,0.0088994909439772,0.8898469945355192,0.0156296847748473,0.898360655737705,0.0276483292692317,0.8813333333333333,0.0075686161626339,0.8787467763889281,0.0169578588229516,0.0859488035071665,0.0061149230732039,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,1,C=100.0,0.9442404371584698,0.0076140699454694,0.9125773143112073,0.0124993451194608,0.8905136612021858,0.010690389378702,0.898360655737705,0.0201520097427167,0.8826666666666666,0.0056218269514104,0.8795260424862313,0.0117354567212569,0.0869560952210407,0.0068280806360664,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,2,C=0.01,0.499344262295082,0.0040304019485433,0.4479312579092014,0.0025408862439615,0.499672131147541,0.003071796573236,0.3393442622950819,0.1922767496933334,0.6599999999999999,0.1897366596101027,0.3536355248948952,0.1551247494951891,0.2498955862943167,0.0009998649563485,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,2,C=0.1,0.9558688524590164,0.0015264073103128,0.9426021622585958,0.0022927524362299,0.8726338797814208,0.0064406118871953,0.8639344262295081,0.0134962721696486,0.8813333333333333,0.0042163702135578,0.8596641535334679,0.0072783077972653,0.0923267330678674,0.0004499448143513,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,2,C=1.0,0.9493989071038252,0.0043291811101993,0.9347551907825478,0.0043198771596915,0.888360655737705,0.0072544399541323,0.8967213114754099,0.0110647304542713,0.8800000000000001,0.006285393610547,0.877288888888889,0.0078642678001859,0.0859842540464524,0.0034916548859871,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,2,C=10.0,0.944415300546448,0.0067165857777993,0.9159985112576206,0.0093559348918072,0.8896939890710384,0.011635116146852,0.8967213114754099,0.0219261231122829,0.8826666666666666,0.0056218269514104,0.8786075591268869,0.0128673507216718,0.0868173729111357,0.0062234814503262,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,2,C=100.0,0.9415300546448088,0.0079888642175566,0.904556548529838,0.0143272770748516,0.8870819672131148,0.0132021777504328,0.8901639344262294,0.025688872729056,0.884,0.0089993141028073,0.8756659146665295,0.0146622301151797,0.0884955443038085,0.0064426325590661,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,3,C=0.01,0.499672131147541,0.0044928535062501,0.4483375456105711,0.0031203190748128,0.4998360655737704,0.0029376349848558,0.319672131147541,0.1961512688065308,0.68,0.1932183566158591,0.3391691217328398,0.1552638502693628,0.2498604956730687,0.00097289881221,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,3,C=0.1,0.9558688524590164,0.0015264073103128,0.9426021622585958,0.0022927524362299,0.8726338797814208,0.0064406118871953,0.8639344262295081,0.0134962721696486,0.8813333333333333,0.0042163702135578,0.8596641535334679,0.0072783077972653,0.0923279402776155,0.00044993395916,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,3,C=1.0,0.949967213114754,0.0042862961319854,0.935641620364148,0.0041823768938858,0.8875409836065573,0.0083544428900395,0.8950819672131148,0.0138241646346158,0.8800000000000001,0.006285393610547,0.8763709764839585,0.0091195531251203,0.0863129266813329,0.0036949635529936,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,3,C=10.0,0.9426010928961748,0.006566437779784,0.914814809054606,0.0074040442538752,0.8882076502732239,0.011444599689267,0.8950819672131148,0.0176224213077564,0.8813333333333333,0.0098381971649682,0.8770645386085197,0.0124638105287825,0.0883213962865852,0.0052025416693495,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,3,C=100.0,0.936087431693989,0.0080556654725244,0.8987603923266633,0.011762113003198,0.8850819672131147,0.0128264454284933,0.8901639344262294,0.02051910749237,0.8800000000000001,0.0153960071783899,0.8736575598536828,0.0139635931090859,0.0919358626668893,0.0047882746502595,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,4,C=0.01,0.5,0.0046367657782724,0.4485417063705095,0.003140301679187,0.4998360655737704,0.0029376349848558,0.319672131147541,0.1961512688065308,0.68,0.1932183566158591,0.3391691217328398,0.1552638502693628,0.2498532956488946,0.0009664070210728,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,4,C=0.1,0.9558469945355192,0.0015178627800364,0.9425839540661232,0.0022908572482201,0.8726338797814208,0.0064406118871953,0.8639344262295081,0.0134962721696486,0.8813333333333333,0.0042163702135578,0.8596641535334679,0.0072783077972653,0.0923278882607213,0.0004500003234647,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,4,C=1.0,0.9496612021857924,0.0052104142726955,0.9339077112752554,0.0054406115699989,0.8890273224043715,0.0125245880446862,0.8967213114754099,0.0190082263725968,0.8813333333333333,0.0075686161626339,0.8779451700323454,0.0136491653159538,0.0866792679112089,0.004331514625148,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,4,C=10.0,0.9421420765027324,0.0062063930587648,0.912653927030483,0.0079973352891438,0.8863606557377051,0.0075922511307248,0.8967213114754099,0.0155521852139428,0.876,0.0089993141028073,0.8751614726636167,0.0082670528836376,0.0902435445247952,0.005011866506862,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,4,C=100.0,0.9343606557377048,0.0067779537569385,0.896398886892549,0.0103695414664358,0.882568306010929,0.0127128511312995,0.8918032786885245,0.0207362469519238,0.8733333333333334,0.0129576708774339,0.8710422415235074,0.0138356117534548,0.0963777213046113,0.0040927524163098,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,5,C=0.01,0.499672131147541,0.0042186358613374,0.4481354186691398,0.0026010642657074,0.5004918032786885,0.0032832391007212,0.3409836065573771,0.1928582448505278,0.6599999999999999,0.1897366596101027,0.3549998427359747,0.1558062817113794,0.249818452258577,0.0009338393433926,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,5,C=0.1,0.9558032786885244,0.0021111731887127,0.942408718280184,0.003118494135557,0.8741202185792349,0.0073866990338521,0.8655737704918032,0.0129313219302723,0.8826666666666666,0.0056218269514104,0.8613052175379737,0.0082506276793147,0.0923112424674369,0.0006583341510617,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,5,C=1.0,0.9522841530054644,0.0049373431863054,0.9344846726047484,0.0081369775145455,0.8915956284153005,0.0119166840592069,0.8885245901639344,0.0169310747375187,0.8946666666666667,0.0098381971649682,0.8805482108231976,0.0131371434439632,0.0841370465144977,0.0051088864458163,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,5,C=10.0,0.9437158469945356,0.0055318254578551,0.905692245379664,0.0106765106968719,0.8923606557377048,0.0118544898623846,0.8967213114754099,0.0244989199688086,0.8879999999999999,0.0128812237743905,0.8814414064934342,0.0130963110173142,0.0862503058931235,0.0059156587225077,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,5,C=100.0,0.935103825136612,0.0070553293053499,0.8881675382103941,0.0099403280417905,0.886415300546448,0.0128706332228862,0.8901639344262294,0.0219261231122829,0.8826666666666666,0.0175541490294502,0.8750657877636587,0.0139785091422245,0.0920615850186566,0.0066852509810141,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,6,C=0.01,0.499672131147541,0.0042186358613374,0.4481354186691398,0.0026010642657074,0.5004918032786885,0.0032832391007212,0.3409836065573771,0.1928582448505278,0.6599999999999999,0.1897366596101027,0.3549998427359747,0.1558062817113794,0.2498103622777582,0.0009265898581888,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,6,C=0.1,0.9558032786885244,0.0021111731887127,0.942408718280184,0.003118494135557,0.8741202185792349,0.0073866990338521,0.8655737704918032,0.0129313219302723,0.8826666666666666,0.0056218269514104,0.8613052175379737,0.0082506276793147,0.0923118761381319,0.0006585289408695,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,6,C=1.0,0.9537704918032788,0.003533885409917,0.9348639281515484,0.0055084540567238,0.8968196721311475,0.0125418744797488,0.9016393442622952,0.0172802057932698,0.892,0.0116746004769454,0.8863552058746395,0.0136277135427009,0.0824718030680251,0.0038144779990004,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,6,C=10.0,0.9439344262295082,0.0057455348892855,0.910515763771236,0.0085407869812962,0.8856502732240437,0.0140102156910191,0.8819672131147541,0.0215829701181765,0.8893333333333333,0.0199257882412976,0.8740833817880714,0.0153652167754102,0.0867591287358892,0.0055956652191178,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,6,C=100.0,0.9348415300546448,0.0063671663839646,0.8952483626297566,0.0099374220046656,0.8821639344262294,0.0117894182038243,0.880327868852459,0.0190082263725968,0.884,0.014124665406285,0.8703081438187654,0.0129552554698447,0.094787563363705,0.0062157738182824,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,7,C=0.01,0.5,0.0046367657782724,0.4485417063705095,0.003140301679187,0.500655737704918,0.0034732783785946,0.321311475409836,0.1716229813547855,0.6799999999999999,0.1686548085423136,0.3463550392635849,0.147991627918741,0.2497946080546955,0.0009075818410071,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,7,C=0.1,0.9558032786885244,0.0021111731887127,0.942408718280184,0.003118494135557,0.8741202185792349,0.0073866990338521,0.8655737704918032,0.0129313219302723,0.8826666666666666,0.0056218269514104,0.8613052175379737,0.0082506276793147,0.0923127872823459,0.0006587130421726,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,7,C=1.0,0.953639344262295,0.0032818442615084,0.9345234612191056,0.0054107157949785,0.8959999999999999,0.0121602892562432,0.9,0.0163021135411763,0.892,0.0116746004769454,0.8854648832939942,0.0132120833351401,0.0828194746102691,0.0037126530701674,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,7,C=10.0,0.942535519125683,0.0072343893358786,0.908135308068044,0.0124294675171208,0.8915956284153005,0.0130048470972326,0.8885245901639344,0.0265463558502538,0.8946666666666667,0.0132590523468233,0.8804552395742433,0.0144054553714693,0.0863109848062361,0.0060882473799879,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,7,C=100.0,0.9332021857923496,0.0084656627831987,0.8939818745874402,0.0144396850992391,0.8855956284153006,0.0138355648697806,0.8885245901639344,0.0229247835665607,0.8826666666666666,0.0175541490294501,0.8741506450773505,0.0150770694173192,0.0927023874615397,0.0072046261275461,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,8,C=0.01,0.499672131147541,0.0042186358613374,0.4481354186691398,0.0026010642657074,0.500655737704918,0.0034732783785946,0.321311475409836,0.1716229813547855,0.6799999999999999,0.1686548085423136,0.3463550392635849,0.147991627918741,0.2497916529238791,0.0009034601963692,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,8,C=0.1,0.9558907103825136,0.0021036161670083,0.9423771277418472,0.0031737548849249,0.8741202185792349,0.006513066235261,0.8655737704918032,0.0129313219302724,0.8826666666666666,0.0056218269514104,0.861303497795763,0.0073212046660777,0.0922794293577689,0.000678692211808,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,8,C=1.0,0.9545136612021858,0.0048858964887782,0.936659900804326,0.0070249998578353,0.8956939890710383,0.00560125134907,0.8967213114754099,0.0079187851072073,0.8946666666666667,0.0098381971649682,0.8851251671374462,0.0060831729097333,0.082685177125437,0.0047781442779279,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,8,C=10.0,0.9384699453551912,0.0077917357255387,0.9041484700668388,0.0116942260665796,0.883551912568306,0.0121684772198731,0.8737704918032787,0.0232481392198717,0.8933333333333333,0.0140545673785261,0.8715427418382365,0.013565212081441,0.0907205761793736,0.0068094535619359,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,8,C=100.0,0.928896174863388,0.0087970712482379,0.8885657797504981,0.0143815102901498,0.8788852459016393,0.0143514094433071,0.8737704918032787,0.0232481392198717,0.884,0.0166888740937942,0.8666115848941681,0.0157263684699099,0.0968675432538871,0.0084978215618785,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,9,C=0.01,0.499672131147541,0.0042186358613374,0.4481354186691398,0.0026010642657074,0.500655737704918,0.0034732783785946,0.321311475409836,0.1716229813547855,0.6799999999999999,0.1686548085423136,0.3463550392635849,0.147991627918741,0.2497908842601044,0.0009019803833742,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,9,C=0.1,0.9558907103825136,0.0021036161670083,0.9423771277418472,0.0031737548849249,0.8741202185792349,0.006513066235261,0.8655737704918032,0.0129313219302724,0.8826666666666666,0.0056218269514104,0.861303497795763,0.0073212046660777,0.09227953117377,0.0006787434095649,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,9,C=1.0,0.9540546448087432,0.0054764168367467,0.9374348205103836,0.0072723891098976,0.8897486338797813,0.010529783512575,0.8901639344262294,0.0134962721696486,0.8893333333333333,0.0109769680313141,0.8786357886952747,0.0114635899910662,0.0833279432063468,0.0051411036570616,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,9,C=10.0,0.9369180327868852,0.0080259564779288,0.9038370911578546,0.0113649000948178,0.8825792349726775,0.0128883719820851,0.8704918032786886,0.0210931793066872,0.8946666666666667,0.0132590523468233,0.8704325567098318,0.0141991501988876,0.0940786572774946,0.007155878178474,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,9,C=100.0,0.928415300546448,0.0088110600336052,0.8908191712483469,0.0132231991098178,0.8771475409836066,0.0118330876821878,0.862295081967213,0.0234400115732537,0.892,0.0132590523468233,0.8643267452466018,0.0131203043522881,0.0998496974859546,0.0078061635688683,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,10,C=0.01,0.5,0.0046367657782724,0.4485417063705095,0.003140301679187,0.500655737704918,0.0034732783785946,0.321311475409836,0.1716229813547855,0.6799999999999999,0.1686548085423136,0.3463550392635849,0.147991627918741,0.2497901622865685,0.0009003323834575,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,10,C=0.1,0.9558907103825136,0.0021036161670083,0.9423771277418472,0.0031737548849249,0.8741202185792349,0.006513066235261,0.8655737704918032,0.0129313219302724,0.8826666666666666,0.0056218269514104,0.861303497795763,0.0073212046660777,0.0922793902506982,0.0006785262726624,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,10,C=1.0,0.9538142076502732,0.0051282599488215,0.9369800079993492,0.0067301414047822,0.8877486338797814,0.0093197055509476,0.8901639344262294,0.0134962721696486,0.8853333333333333,0.0112436539028208,0.8765067564372101,0.0101555440055419,0.083919269481396,0.0052484514661433,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,10,C=10.0,0.9341857923497268,0.0075728233259838,0.9003791678275099,0.0107663455310091,0.87775956284153,0.0152243091573275,0.8688524590163935,0.0189295170226106,0.8866666666666667,0.0180534186769687,0.8653194429754979,0.0166288542636643,0.0979309250924556,0.007170141578152,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l1,10,C=100.0,0.9243715846994536,0.0080687027759021,0.8863050985993519,0.0152148927472554,0.871967213114754,0.0123650575678981,0.8639344262295081,0.0219261231122829,0.8800000000000001,0.0166295883856619,0.8589582549034696,0.0136179730216244,0.1057276614686877,0.0080360346986733,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l2,0,C=0.01,0.9367650273224044,0.0036049747222001,0.9209678279805348,0.0045825454011523,0.8578251366120219,0.0075504722823601,0.9409836065573772,0.0084655373687593,0.7746666666666666,0.0132590523468233,0.8485101423847794,0.0072635745391376,0.1591600745609697,0.0008222113833545,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l2,0,C=0.1,0.9498360655737704,0.0018668310346548,0.9356333639088056,0.0018738725194477,0.8907103825136613,0.0097837100840809,0.9147540983606556,0.0129313219302723,0.8666666666666668,0.0108866210790363,0.8801230549306336,0.0103701868617295,0.0954761147013722,0.0015700131278264,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
logistic_l2,0,C=1.0,0.9511475409836068,0.0039063288704583,0.9366464914402016,0.0040547501192013,0.8853879781420766,0.0058458425117298,0.8934426229508198,0.0086401028966349,0.8773333333333333,0.0105174751699548,0.8741097048942839,0.0062520796189051,0.0849641039740374,0.0032686789634125,plain,False,flat,,,fold_features_D30_qualonly_da_untreated.csv,da_untreated
