scheme,pool_correction,model,repeat,fold,selected_k,selected_param
donor_grouped,False,logistic_l1,1,1,2,C=0.1
donor_grouped,False,logistic_l2,1,2,4,C=0.01
donor_grouped,False,logistic_l1,1,2,0,C=0.1
donor_grouped,False,logistic_l2,1,3,4,C=0.01
donor_grouped,False,logistic_l1,1,3,3,C=0.1
donor_grouped,False,logistic_l2,1,4,8,C=0.01
donor_grouped,False,logistic_l1,1,4,8,C=1.0
donor_grouped,False,logistic_l2,2,0,10,C=0.1
donor_grouped,False,logistic_l1,2,0,6,C=1.0
donor_grouped,False,logistic_l2,2,1,6,C=0.1
donor_grouped,False,logistic_l1,2,1,10,C=1.0
donor_grouped,False,logistic_l2,2,2,3,C=100.0
donor_grouped,False,logistic_l1,2,2,3,C=100.0
donor_grouped,False,logistic_l2,2,3,8,C=0.01
donor_grouped,False,logistic_l1,2,3,2,C=0.1
donor_grouped,False,logistic_l2,2,4,4,C=0.01
donor_grouped,False,logistic_l1,2,4,0,C=100.0
donor_grouped,False,logistic_l2,3,0,8,C=0.01
donor_grouped,False,logistic_l1,3,0,0,C=0.1
donor_grouped,False,logistic_l2,3,1,8,C=0.01
donor_grouped,False,logistic_l1,3,1,9,C=0.1
donor_grouped,False,logistic_l2,3,2,6,C=0.01
donor_grouped,False,logistic_l1,3,2,3,C=1.0
donor_grouped,False,logistic_l2,3,3,8,C=0.01
donor_grouped,False,logistic_l1,3,3,2,C=0.1
donor_grouped,False,logistic_l2,3,4,8,C=0.1
donor_grouped,False,logistic_l1,3,4,6,C=1.0
donor_grouped,False,logistic_l2,4,0,8,C=0.01
donor_grouped,False,logistic_l1,4,0,0,C=0.1
donor_grouped,False,logistic_l2,4,1,4,C=0.01
donor_grouped,False,logistic_l1,4,1,2,C=0.1
donor_grouped,False,logistic_l2,4,2,3,C=10.0
donor_grouped,False,logistic_l1,4,2,3,C=1.0
donor_grouped,False,logistic_l2,4,3,8,C=0.01
donor_grouped,False,logistic_l1,4,3,0,C=0.1
donor_grouped,False,logistic_l2,4,4,6,C=0.1
donor_grouped,False,logistic_l1,4,4,3,C=0.1
donor_grouped,False,logistic_l2,5,0,8,C=0.01
donor_grouped,False,logistic_l1,5,0,0,C=0.1
donor_grouped,False,logistic_l2,5,1,8,C=0.1
donor_grouped,False,logistic_l1,5,1,2,C=0.1
donor_grouped,False,logistic_l2,5,2,3,C=0.1
donor_grouped,False,logistic_l1,5,2,2,C=0.1
donor_grouped,False,logistic_l2,5,3,8,C=0.01
donor_grouped,False,logistic_l1,5,3,2,C=100.0
donor_grouped,False,logistic_l2,5,4,1,C=100.0
donor_grouped,False,logistic_l1,5,4,1,C=100.0
donor_grouped,False,logistic_l2,6,0,8,C=0.01
donor_grouped,False,logistic_l1,6,0,0,C=0.1
donor_grouped,False,logistic_l2,6,1,10,C=10.0
donor_grouped,False,logistic_l1,6,1,10,C=10.0
donor_grouped,False,logistic_l2,6,2,3,C=10.0
donor_grouped,False,logistic_l1,6,2,3,C=1.0
donor_grouped,False,logistic_l2,6,3,8,C=1.0
donor_grouped,False,logistic_l1,6,3,6,C=1.0
donor_grouped,False,logistic_l2,6,4,4,C=0.01
donor_grouped,False,logistic_l1,6,4,2,C=0.1
donor_grouped,False,logistic_l2,7,0,8,C=0.01
donor_grouped,False,logistic_l1,7,0,0,C=0.1
donor_grouped,False,logistic_l2,7,1,2,C=100.0
donor_grouped,False,logistic_l1,7,1,2,C=100.0
donor_grouped,False,logistic_l2,7,2,2,C=10.0
donor_grouped,False,logistic_l1,7,2,3,C=1.0
donor_grouped,False,logistic_l2,7,3,10,C=10.0
donor_grouped,False,logistic_l1,7,3,10,C=10.0
donor_grouped,False,logistic_l2,7,4,7,C=0.1
donor_grouped,False,logistic_l1,7,4,6,C=1.0
donor_grouped,False,logistic_l2,8,0,8,C=0.01
donor_grouped,False,logistic_l1,8,0,0,C=0.1
donor_grouped,False,logistic_l2,8,1,2,C=100.0
donor_grouped,False,logistic_l1,8,1,2,C=0.1
donor_grouped,False,logistic_l2,8,2,8,C=0.01
donor_grouped,False,logistic_l1,8,2,2,C=100.0
donor_grouped,False,logistic_l2,8,3,8,C=1.0
donor_grouped,False,logistic_l1,8,3,6,C=1.0
donor_grouped,False,logistic_l2,8,4,1,C=100.0
donor_grouped,False,logistic_l1,8,4,1,C=100.0
donor_grouped,False,logistic_l2,9,0,10,C=0.01
donor_grouped,False,logistic_l1,9,0,4,C=0.1
donor_grouped,False,logistic_l2,9,1,4,C=0.01
donor_grouped,False,logistic_l1,9,1,8,C=0.1
donor_grouped,False,logistic_l2,9,2,6,C=0.01
donor_grouped,False,logistic_l1,9,2,3,C=1.0
donor_grouped,False,logistic_l2,9,3,10,C=0.01
donor_grouped,False,logistic_l1,9,3,0,C=0.1
donor_grouped,False,logistic_l2,9,4,8,C=0.1
donor_grouped,False,logistic_l1,9,4,6,C=1.0
loco,False,logistic_l2,0,0,10,C=0.01
loco,False,logistic_l1,0,0,2,C=0.1
loco,False,logistic_l2,0,1,8,C=0.01
loco,False,logistic_l1,0,1,8,C=1.0
loco,False,logistic_l2,0,2,9,C=0.01
loco,False,logistic_l1,0,2,10,C=100.0
loco,False,logistic_l2,0,3,9,C=0.01
loco,False,logistic_l1,0,3,10,C=100.0
loco,False,logistic_l2,0,4,8,C=0.01
loco,False,logistic_l1,0,4,10,C=0.1
loco,False,logistic_l2,0,5,10,C=0.01
loco,False,logistic_l1,0,5,10,C=10.0
loco,False,logistic_l2,0,6,10,C=0.01
loco,False,logistic_l1,0,6,10,C=100.0
loco,False,logistic_l2,0,7,6,C=0.01
loco,False,logistic_l1,0,7,10,C=100.0
loco,False,logistic_l2,0,8,8,C=0.01
loco,False,logistic_l1,0,8,10,C=100.0
loco,False,logistic_l2,0,9,9,C=0.01
loco,False,logistic_l1,0,9,10,C=100.0
loco,False,logistic_l2,0,10,10,C=100.0
loco,False,logistic_l1,0,10,10,C=100.0
loco,False,logistic_l2,0,11,10,C=100.0
loco,False,logistic_l1,0,11,10,C=100.0
loco,False,logistic_l2,0,12,8,C=0.01
loco,False,logistic_l1,0,12,10,C=100.0
loco,False,logistic_l2,0,13,10,C=0.1
loco,False,logistic_l1,0,13,8,C=0.1
loco,False,logistic_l2,0,14,10,C=100.0
loco,False,logistic_l1,0,14,10,C=100.0
loco,False,logistic_l2,0,15,9,C=0.01
loco,False,logistic_l1,0,15,10,C=100.0
loco,False,logistic_l2,0,16,9,C=0.01
loco,False,logistic_l1,0,16,10,C=100.0
loco,False,logistic_l2,0,17,9,C=0.01
loco,False,logistic_l1,0,17,8,C=0.1
loco,False,logistic_l2,0,18,9,C=0.01
loco,False,logistic_l1,0,18,10,C=100.0
loco,False,logistic_l2,0,19,9,C=0.01
loco,False,logistic_l1,0,19,4,C=0.1
loco,False,logistic_l2,0,20,9,C=0.01
loco,False,logistic_l1,0,20,10,C=100.0
loco,False,logistic_l2,0,21,10,C=0.01
loco,False,logistic_l1,0,21,3,C=0.1
loco,False,logistic_l2,0,22,8,C=0.01
loco,False,logistic_l1,0,22,8,C=0.1
loco,False,logistic_l2,0,23,10,C=0.01
loco,False,logistic_l1,0,23,8,C=0.1
loco,False,logistic_l2,0,24,8,C=0.1
loco,False,logistic_l1,0,24,10,C=0.1
loco,False,logistic_l2,0,25,8,C=0.1
loco,False,logistic_l1,0,25,10,C=100.0
loco,False,logistic_l2,0,26,8,C=0.1
loco,False,logistic_l1,0,26,10,C=100.0
loco,False,logistic_l2,0,27,8,C=0.01
loco,False,logistic_l1,0,27,10,C=100.0
loco,False,logistic_l2,0,28,10,C=0.01
loco,False,logistic_l1,0,28,10,C=100.0
loco,False,logistic_l2,0,29,9,C=0.01
loco,False,logistic_l1,0,29,10,C=100.0
loco,False,logistic_l2,0,30,10,C=0.01
loco,False,logistic_l1,0,30,10,C=100.0
loco,False,logistic_l2,0,31,10,C=0.01
loco,False,logistic_l1,0,31,8,C=0.1
loco,False,logistic_l2,0,32,8,C=0.01
loco,False,logistic_l1,0,32,8,C=0.1
loco,False,logistic_l2,0,33,10,C=0.01
loco,False,logistic_l1,0,33,10,C=100.0
loco,False,logistic_l2,0,34,8,C=0.01
loco,False,logistic_l1,0,34,8,C=0.1
loco,False,logistic_l2,0,35,10,C=0.01
