feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.1907,-0.0453,False,0.88,-0.0015,individual,0.0352,grouped (all proportions permuted together),0.0329,0.755,High (pool-associated)
phat_NB,-0.7273,0.0669,False,1.0,0.0017,individual,0.0352,grouped (all proportions permuted together),0.0519,0.037,Low
phat_P_FPP,0.3431,reference (=1-FPP-NB),,,-0.0007,grouped (FPP+NB dropped together),0.0352,grouped (all proportions permuted together),,0.651,High (pool-associated)
PC1,0.5632,0.0035,False,0.8,-0.0024,individual,0.005,individual,0.0026,0.49,Moderate
PC2,0.6695,0.3119,False,1.0,0.0186,individual,0.176,individual,0.2473,0.764,High (pool-associated)
PC3,-0.2206,-0.2505,False,1.0,0.0141,individual,0.1455,individual,0.189,0.498,Moderate
PC4,0.5253,0.0441,False,1.0,-0.0009,individual,0.0147,individual,0.0348,0.448,Moderate
PC5,-0.0182,-0.052,False,1.0,0.0016,individual,0.0085,individual,0.04,0.788,High (pool-associated)
