model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
logistic_l1,0,C=0.01,0.4973214285714286,0.007960412358037551,0.6949227162350307,0.0046820897247119965,0.5006696428571429,0.009135943346864251,0.5822916666666667,0.17308601145416436,0.41904761904761906,0.1800030793947281,0.6229104837447631,0.09217342351296166,0.24926526750561157,0.0022576839506149417,plain,False,flat,,
logistic_l1,0,C=0.1,0.9513144841269842,0.0057610551481081015,0.9667565196340657,0.008301890101691196,0.893452380952381,0.005019488349473653,0.9583333333333334,0.0,0.8285714285714286,0.010038976698947249,0.9426268969126111,0.0020298590248420583,0.0903317480000902,0.0007033036985473123,plain,False,flat,,
logistic_l1,0,C=1.0,0.9472966269841269,0.004984028974767644,0.9617953009174325,0.005874573730864054,0.8919642857142858,0.00729689505890212,0.9291666666666668,0.004392052305789391,0.8547619047619047,0.013515386004703497,0.932569463580417,0.0037869667458651714,0.06869191446892335,0.0016902923936404524,plain,False,flat,,
logistic_l1,0,C=10.0,0.9457093253968253,0.0062650400104228635,0.9607940083091421,0.007718799133156021,0.9017857142857142,0.0069089227565397714,0.925,0.004392052305789436,0.8785714285714284,0.013515386004703506,0.9352317676098332,0.003496668992616886,0.06947060038290592,0.002204426276534789,plain,False,flat,,
logistic_l1,0,C=100.0,0.9455357142857143,0.006552710996372142,0.9607762305270742,0.00799006492093795,0.9024553571428571,0.007452453983321197,0.9239583333333334,0.005031728036871362,0.880952380952381,0.01587301587301589,0.9351645783601132,0.0034686307640513976,0.06964168461239681,0.0022743758683094165,plain,False,flat,,
logistic_l1,1,C=0.01,0.4973214285714286,0.008770867439384766,0.6948068610834075,0.005190758393679993,0.5014880952380952,0.008120389654635386,0.5625,0.18267981163841535,0.4404761904761905,0.18756035393803927,0.6095544587345889,0.09932477060494603,0.2502635566527075,0.002562138231769465,plain,False,flat,,
logistic_l1,1,C=0.1,0.949156746031746,0.003300672086256156,0.9605309582995044,0.0055782417716710156,0.9005952380952381,0.004721430172337583,0.9583333333333334,0.006944444444444468,0.8428571428571429,0.01229518522605525,0.9455235737221589,0.002762883423128418,0.09089655862179401,0.0008330116554266642,plain,False,flat,,
logistic_l1,1,C=1.0,0.9452132936507937,0.004180373571271975,0.958039861937047,0.006396300304728681,0.9047619047619048,0.006873217490352647,0.9333333333333333,0.008784104611578799,0.8761904761904761,0.010038976698947244,0.9391889409387343,0.005224833995431986,0.06989024816828789,0.002065343148652337,plain,False,flat,,
logistic_l1,1,C=10.0,0.9407738095238095,0.005809197931319418,0.9539134315323803,0.007155737557409347,0.9045386904761905,0.005179317322977895,0.928125,0.010358634645955786,0.880952380952381,0.0,0.9373752635296793,0.005544745694401433,0.0704097510062985,0.002628965054664828,plain,False,flat,,
logistic_l1,1,C=100.0,0.9404513888888888,0.005935650816215121,0.9538525183717755,0.0072973528182858115,0.9046875,0.006375985966319722,0.9260416666666667,0.012471031247269422,0.8833333333333334,0.0075292325242104375,0.9367395726476279,0.00646498735937649,0.07055625720063421,0.002837268171302647,plain,False,flat,,
