feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.2008,0.0,True,0.0,0.0,individual,0.1267,grouped (all proportions permuted together),0.0,0.755,High (pool-associated)
phat_NB,-0.7331,0.0,True,0.76,-0.0014,individual,0.1267,grouped (all proportions permuted together),0.0,0.037,Low
phat_P_FPP,0.4096,reference (=1-FPP-NB),,,-0.0014,grouped (FPP+NB dropped together),0.1267,grouped (all proportions permuted together),,0.651,High (pool-associated)
PC1,0.5693,0.0,True,0.14,-0.0011,individual,-0.0003,individual,0.0,0.462,Moderate
PC2,-0.7448,-1.9422,False,0.74,-0.0017,individual,0.1858,individual,1.5829,0.114,Low
PC3,0.4831,0.0,True,0.6,-0.0027,individual,0.0111,individual,0.0,0.832,High (pool-associated)
