gene,gene_index,PC,loading,abs_loading,signed_rank,pole
HMGB2,8355,PC1,0.1154969847255771,0.1154969847255771,2000.0,positive
PTTG1,9904,PC1,0.1124298067954485,0.1124298067954485,1999.0,positive
NUSAP1,23715,PC1,0.1121759750825236,0.1121759750825236,1998.0,positive
CENPF,2814,PC1,0.1101758110693622,0.1101758110693622,1997.0,positive
UBE2C,29110,PC1,0.1098073116357589,0.1098073116357589,1996.0,positive
CKS2,16176,PC1,0.1090794803601187,0.1090794803601187,1995.0,positive
TOP2A,26953,PC1,0.1081950636052432,0.1081950636052432,1994.0,positive
PLK1,25072,PC1,0.108120083032771,0.108120083032771,1993.0,positive
CCNB1,9002,PC1,0.107887725164687,0.107887725164687,1992.0,positive
TUBB4B,16842,PC1,0.1077735230320442,0.1077735230320442,1991.0,positive
KPNA2,27552,PC1,0.1066577790648043,0.1066577790648043,1990.0,positive
CCNB2,23948,PC1,0.1058181372937525,0.1058181372937525,1989.0,positive
CKS1B,2016,PC1,0.1055433664371418,0.1055433664371418,1988.0,positive
CDC20,878,PC1,0.1049267973021576,0.1049267973021576,1987.0,positive
AURKB,26322,PC1,0.1044820615207452,0.1044820615207452,1986.0,positive
BIRC5,27747,PC1,0.1044807316645271,0.1044807316645271,1985.0,positive
CCNA2,8036,PC1,0.1039643162429443,0.1039643162429443,1984.0,positive
CDK1,17376,PC1,0.1031240446415011,0.1031240446415011,1983.0,positive
TPX2,28872,PC1,0.1030433407974524,0.1030433407974524,1982.0,positive
ARL6IP1,24979,PC1,0.1021197600357049,0.1021197600357049,1981.0,positive
SMC4,6760,PC1,0.0990509460290589,0.0990509460290589,1980.0,positive
KIF2C,906,PC1,0.0986838113720926,0.0986838113720926,1979.0,positive
AURKA,29223,PC1,0.0984376398656571,0.0984376398656571,1978.0,positive
CDKN3,22816,PC1,0.097816791401326,0.097816791401326,1977.0,positive
MKI67,18069,PC1,0.097203442638364,0.097203442638364,1976.0,positive
RPL34,7949,PC1,-0.0507774766073894,0.0507774766073894,1.0,negative
SNHG8,8006,PC1,-0.0474256758303978,0.0474256758303978,2.0,negative
EIF3E,15270,PC1,-0.0386586210991613,0.0386586210991613,3.0,negative
EPB41L4A-AS1,9318,PC1,-0.0382590574517653,0.0382590574517653,4.0,negative
SH3BGRL3,556,PC1,-0.0372524335085731,0.0372524335085731,5.0,negative
RPS27,1989,PC1,-0.0368067121616941,0.0368067121616941,6.0,negative
RPS28,29733,PC1,-0.033736280309548,0.033736280309548,7.0,negative
MIAT,31762,PC1,-0.0336959040925607,0.0336959040925607,8.0,negative
ETFB,31072,PC1,-0.0335854379692527,0.0335854379692527,9.0,negative
MFNG,31954,PC1,-0.0327261471442092,0.0327261471442092,10.0,negative
UQCRB,15166,PC1,-0.0322852926130089,0.0322852926130089,11.0,negative
GAPDH,20155,PC1,-0.0316635944548449,0.0316635944548449,12.0,negative
CCND2,20114,PC1,-0.0308353662853193,0.0308353662853193,13.0,negative
PCBP4,5941,PC1,-0.0307882988222733,0.0307882988222733,14.0,negative
APOE,30758,PC1,-0.0307596354746381,0.0307596354746381,15.0,negative
SLC2A1,868,PC1,-0.0297058424177984,0.0297058424177984,16.0,negative
COX7C,9170,PC1,-0.0295012095174023,0.0295012095174023,17.0,negative
PFDN5,20761,PC1,-0.029293504873158,0.029293504873158,18.0,negative
RPL37A,5068,PC1,-0.0278052714784998,0.0278052714784998,19.0,negative
TOMM7,12016,PC1,-0.0269934991736675,0.0269934991736675,20.0,negative
EIF3L,31970,PC1,-0.0267954394324201,0.0267954394324201,21.0,negative
EIF4A2,6985,PC1,-0.0264317483656694,0.0264317483656694,22.0,negative
QPRT,25162,PC1,-0.0262467399830846,0.0262467399830846,23.0,negative
SRCAP,25233,PC1,-0.0257051107742545,0.0257051107742545,24.0,negative
RPL39,13968,PC1,-0.0254476331735985,0.0254476331735985,25.0,negative
