gene,gene_index,PC,loading,abs_loading,signed_rank,pole
MLLT11,1858,PC1,0.0751097988106966,0.0751097988106966,2000.0,positive
TUBB2B,10204,PC1,0.0708685642808047,0.0708685642808047,1999.0,positive
TUBA1A,20638,PC1,0.0704563092916209,0.0704563092916209,1998.0,positive
TUBB2A,10202,PC1,0.07012779310847,0.07012779310847,1997.0,positive
STMN2,15014,PC1,0.0698629164029391,0.0698629164029391,1996.0,positive
RTN1,22877,PC1,0.0685160539987758,0.0685160539987758,1995.0,positive
GAP43,6315,PC1,0.0679730839384505,0.0679730839384505,1994.0,positive
NSG1,7226,PC1,0.0673688148083944,0.0673688148083944,1993.0,positive
MAP1B,9027,PC1,0.0669730409114294,0.0669730409114294,1992.0,positive
CRMP1,7236,PC1,0.0668846927452689,0.0668846927452689,1991.0,positive
INA,17868,PC1,0.0652674881404867,0.0652674881404867,1990.0,positive
HN1,27656,PC1,0.0628131393073268,0.0628131393073268,1989.0,positive
RAB3A,30116,PC1,0.0625897355117408,0.0625897355117408,1988.0,positive
APLP1,30426,PC1,0.0625301976398659,0.0625301976398659,1987.0,positive
MARCKSL1,688,PC1,0.0613170618089943,0.0613170618089943,1986.0,positive
PAFAH1B3,30673,PC1,0.0612485008278414,0.0612485008278414,1985.0,positive
TERF2IP,25795,PC1,0.0605533317436342,0.0605533317436342,1984.0,positive
BASP1,8676,PC1,0.0603726139819243,0.0603726139819243,1983.0,positive
MAPT,27191,PC1,0.0602015005100215,0.0602015005100215,1982.0,positive
RTN3,19065,PC1,0.0593553856134332,0.0593553856134332,1981.0,positive
VAMP2,26318,PC1,0.0590334918473103,0.0590334918473103,1980.0,positive
FXYD6,19790,PC1,0.0588220100771786,0.0588220100771786,1979.0,positive
GNG3,19034,PC1,0.0585299529679442,0.0585299529679442,1978.0,positive
KLC1,23410,PC1,0.0584488755189391,0.0584488755189391,1977.0,positive
TUBB,10565,PC1,0.057592330311629,0.057592330311629,1976.0,positive
RPS6,15745,PC1,-0.0594804875119629,0.0594804875119629,1.0,negative
GNG5,1287,PC1,-0.0579139609022725,0.0579139609022725,2.0,negative
RPS20,14828,PC1,-0.054736309955953,0.054736309955953,3.0,negative
RPS7,3255,PC1,-0.0545189833082137,0.0545189833082137,4.0,negative
MDK,18750,PC1,-0.0545037872396325,0.0545037872396325,5.0,negative
RPL27A,18411,PC1,-0.0534567905695993,0.0534567905695993,6.0,negative
RPLP1,24087,PC1,-0.0523995928930995,0.0523995928930995,7.0,negative
RPL30,15179,PC1,-0.0513315150386952,0.0513315150386952,8.0,negative
RPS12,11447,PC1,-0.0512217375081102,0.0512217375081102,9.0,negative
RPL19,26912,PC1,-0.0510717439727714,0.0510717439727714,10.0,negative
GSTP1,19263,PC1,-0.0508455928706164,0.0508455928706164,11.0,negative
RPL10A,10755,PC1,-0.0507761607933854,0.0507761607933854,12.0,negative
RPS9,31188,PC1,-0.0501908278705074,0.0501908278705074,13.0,negative
RPL35A,7134,PC1,-0.0494717496132811,0.0494717496132811,14.0,negative
RPL28,31257,PC1,-0.0493534307615017,0.0493534307615017,15.0,negative
RPL31,4171,PC1,-0.0492096646952018,0.0492096646952018,16.0,negative
HSPB1,12429,PC1,-0.0488071872573836,0.0488071872573836,17.0,negative
RPS3A,8218,PC1,-0.048702865891064,0.048702865891064,18.0,negative
RPL36,29619,PC1,-0.0486519341946613,0.0486519341946613,19.0,negative
PRDX6,2373,PC1,-0.048355480045467,0.048355480045467,20.0,negative
RPS15A,24977,PC1,-0.0483489348361292,0.0483489348361292,21.0,negative
RPS27,1989,PC1,-0.0483380419145567,0.0483380419145567,22.0,negative
RPS27A,3761,PC1,-0.0475144228738546,0.0475144228738546,23.0,negative
RPL29,5947,PC1,-0.0474060145905821,0.0474060145905821,24.0,negative
RPL12,16567,PC1,-0.0473388129008183,0.0473388129008183,25.0,negative
